"id","title","authors","year","venue","search_strings","v1_decision","v1_reason","v2_decision","v2_reason"
"1","Comparative Analysis of Large Language Model Tools for Automated Test Data Generation from BDD","Isela Mendoza; F. S. Filho; Gustavo Medeiros; Aline Paes; Vania de Oliveira Neves","2026","Semantic Scholar","String A","INCLUDE","IC1, IC2, IC4","Include","Doc full-text, du tieu chi IC1-IC5"
"2","Automating Behavior-Driven Development with Generative AI: Enhancing Efficiency in Test Automation","Sujeet Kumar Tiwari","2026","Semantic Scholar","String A","INCLUDE","IC1, IC2, IC4","Include","Doc full-text, du tieu chi IC1-IC5"
"3","Automated Test Generation Using LLM Based on BDD: A Comparative Study","S. Santos; Luiz Felipe Cirqueira dos Santos; Fabio Gomes Rocha","2026","Semantic Scholar","String A","INCLUDE","IC1, IC2, IC4","Include","Doc full-text, du tieu chi IC1-IC5"
"4","A Comparative Study of LLMs for Gherkin Generation","Hiago Fernandes; M. Perkusich; A. Perkusich","2026","Semantic Scholar","String A","INCLUDE","IC1, IC2, IC4","Include","Doc full-text, du tieu chi IC1-IC5"
"5","Exploring the Synergy: User Stories in Agile Software Development","Siti Nur Fathin Najwa Binti Mustaffa; Jamaludin Bin Sallim; Rozlina Binti Mohamed","2026","Semantic Scholar","String A","EXCLUDE","EC4 - Chi ban ve user stories, khong ve test generation","",""
"6","InteractiveReq: Enhancing Software Requirement Specification with Critiquing-based Recommender Systems","Sebastian Lubos; Alexander Felfernig; Ivan Dukic","2026","Semantic Scholar","String A","EXCLUDE","EC4 - Chi ban ve yeu cau he thong, khong ve test generation","",""
"7","AI-Generated User Stories: Are They Good Enough?","Reine Santos; Igor Steinmacher; T. Conte; A. Oran; Bruno Gadelha","2026","Semantic Scholar","String A","EXCLUDE","EC4 - Chi ban ve user stories, khong ve test generation","",""
"8","NATURAL LANGUAGE PROCESSING PIPELINE FOR CO-DESIGNING CULTURALLY AWARE HEALTH CHATBOTS FROM USER STORIES TO SYSTEM SPECIFICATIONS","Oritsemeyiwa Gabriel Orugboh","2026","Semantic Scholar","String A","EXCLUDE","EC4 - Nghien cuu ve chatbot suc khoe, khong ve test generation","",""
"9","An Aggregated Dataset of Agile User Stories and Use Case Taxonomy for AI-Driven Research","Abdulrahim Alhaizaey; Majed Al-Mashari","2026","Semantic Scholar","String A","EXCLUDE","EC4 - Chi tap trung vao dataset user stories, khong ve test generation","",""
"10","API Test Case Generation by Extracting HTTP Requests During Front-End Testing","Yi-Jie Guo; Shang-Pin Ma; Hsin-Jui Peng; Yu-Sheng Su","2026","Semantic Scholar","String B","Unsure","IC4 - Kiem tra tinh lien quan den sinh test case","EXCLUDE","EC4 - Chi sinh API test tu frontend testing, khong lien quan BDD/Gherkin"
"11","Reverse-Engineering and Automating BDD for Modern Software Development with LLMs","Sagar B. Patel; Sajal Nigam; Shrikanth Mahale","2026","Semantic Scholar","String B","INCLUDE","IC1, IC2, IC4","Include","Doc full-text, du tieu chi IC1-IC5"
"12","Continuous Security through Integration Testing in an Electronic Health Records System","S. Purkayastha; Shreya Goyal; Tyler Phillips; Huanmei Wu; Brandon Haakenson; X. Zou","2026","Semantic Scholar","String B","EXCLUDE","EC4 - Ban ve tich hop bao mat, khong lien quan test generation","",""
"13","Uma abordagem orientada a aspecto para escrita de historia do usuario com Gherkin","M. Araujo","2026","Semantic Scholar","String B","EXCLUDE","IC1 - Khong phai tieng Anh (viet bang tieng Bo Dao Nha)","",""
"14","Behaviour-Driven Development Applied to the Conformance Testing of INSPIRE Web Services","F. Lopez-Pellicer; M. Latre; J. Nogueras-Iso; F. J. Zarazaga-Soria; J. Barrera","2026","Semantic Scholar","String B","Unsure","IC4 - Kiem tra su lien quan BDD","EXCLUDE","EC4 - Chi ban ve conformance testing cho web service, khong sinh kich ban"
