ID,User Story,Output
1,"As a user, I want to enable image tagging from the Asset Intelligence section in the MCP settings","Gherkin:
Feature: MCP Settings for Image Tagging

Scenario: Enable Image Tagging in MCP settings
Given the user is in the MCP settings under Asset Intelligence
When the user enables the ""Enable Image Tagging"" setting
Then all Image Tagging Capabilities should depend on this setting
And the platform should ignore any Imagga functionality and use Azure only
And a new setting ""Azure Image Processing Limit (Images) (per billing cycle)"" should be available
And the setting ""Azure Video Processing Limit (per billing cycle)"" should be renamed to ""Azure Video Processing Limit (minutes) (per billing cycle)""

Python:
from behave import given, when, then

@given('the user is in the MCP settings under Asset Intelligence')
def step_impl(context):
    pass

@when('the user enables the ""Enable Image Tagging"" setting')
def step_impl(context):
    pass

@then('all Image Tagging Capabilities should depend on this setting')
def step_impl(context):
    pass

@then('the platform should ignore any Imagga functionality and use Azure only')
def step_impl(context):
    pass

@then('a new setting ""Azure Image Processing Limit (Images) (per billing cycle)"" should be available')
def step_impl(context):
    pass

@then('the setting ""Azure Video Processing Limit (per billing cycle)"" should be renamed to ""Azure Video Processing Limit (minutes) (per billing cycle)""')
def step_impl(context):
    pass"
2,"As an IB team member, I want to be able to enable an Auto-Focal setting in MCP so that I can control all the settings from one place.","Gherkin:
Feature: Auto-Focal Setting in MCP

Scenario: Enable Auto-Focal setting
Given the user is in the Development Use Only area of MCP
When the user sees the setting ""Resources - Preset Auto-Focal""
And the user enables the toggle switch
Then any Auto-focal tickets should become enabled

Scenario: Disable Auto-Focal setting
Given the user is in the Development Use Only area of MCP
When the user sees the setting ""Resources - Preset Auto-Focal""
And the user disables the toggle switch
Then no Auto-focal settings should be available on the platform

Python:
from behave import given, when, then

@given('the user is in the Development Use Only area of MCP')
def step_impl(context):
    pass

@when('the user sees the setting ""Resources - Preset Auto-Focal""')
def step_impl(context):
    pass

@when('the user enables the toggle switch')
def step_impl(context):
    pass

@then('any Auto-focal tickets should become enabled')
def step_impl(context):
    pass

@when('the user disables the toggle switch')
def step_impl(context):
    pass

@then('no Auto-focal settings should be available on the platform')
def step_impl(context):
    pass"
3,"As an IB team member, I want to be able to enable a GIF/Lottie setting in MCP so that I can control all the settings from one place","Gherkin:
Feature: GIF/Lottie Preview Setting

Scenario: Enable GIF/Lottie Preview Support
Given the user is in the Development Use Only area of the MCP
When the user sees the setting ""Resources - GIF/Lottie Preview Support""
And the user enables the toggle switch
Then GIF/Lottie Preview features should be available on the platform

Scenario: Disable GIF/Lottie Preview Support
Given the user is in the Development Use Only area of the MCP
When the user sees the setting ""Resources - GIF/Lottie Preview Support""
And the user disables the toggle switch
Then no GIF/Lottie Preview features should be available on the platform

Python:
from behave import given, when, then

@given('the user is in the Development Use Only area of the MCP')
def step_impl(context):
    pass

@when('the user sees the setting ""Resources - GIF/Lottie Preview Support""')
def step_impl(context):
    pass

@when('the user enables the toggle switch')
def step_impl(context):
    pass

@then('GIF/Lottie Preview features should be available on the platform')
def step_impl(context):
    pass

@when('the user disables the toggle switch')
def step_impl(context):
    pass

@then('no GIF/Lottie Preview features should be available on the platform')
def step_impl(context):
    pass"
4,"As a user, I want to be able to upload a GIF and have it automatically converted into a MP4 file so that I can view it in the previewer.","Gherkin:
Feature: GIF to MP4 Conversion

Scenario: Successful conversion of uploaded GIF to MP4
Given the user is on the upload page
When the user uploads a GIF file named ""example.gif""
Then the system should convert the GIF to an MP4 with the highest quality
And the MP4 should be available in the previewer
And the MP4 should be stored alongside the original GIF

Python:
from behave import given, when, then

@given('the user is on the upload page')
def step_impl(context):
    pass

@when('the user uploads a GIF file named ""{gif_name}""')
def step_impl(context, gif_name):
    pass

@then('the system should convert the GIF to an MP4 with the highest quality')
def step_impl(context):
    pass

@then('the MP4 should be available in the previewer')
def step_impl(context):
    pass

@then('the MP4 should be stored alongside the original GIF')
def step_impl(context):
    pass"
5,"As a user, I want to be able to upload a Lottie File and have it automatically converted into a MP4 file so that I can view it in the previewer.","Gherkin:
Feature: Lottie File Conversion

Scenario: Successful conversion of Lottie File to MP4
Given the user is on the file upload page
When the user uploads a Lottie File named ""animation.lottie""
Then the file should be converted to an MP4
And the MP4 should be stored alongside the original Lottie File
And the MP4 should be viewable in the previewer

Python:
from behave import given, when, then

@given('the user is on the file upload page')
def step_impl(context):
    pass

@when('the user uploads a Lottie File named ""{file_name}""')
def step_impl(context, file_name):
    pass

@then('the file should be converted to an MP4')
def step_impl(context):
    pass

@then('the MP4 should be stored alongside the original Lottie File')
def step_impl(context):
    pass

@then('the MP4 should be viewable in the previewer')
def step_impl(context):
    pass"
6,"As a user, I want to be select a Preset that has auto-focal enabled, on multiple images from the Bulk Download Screen, so that the cropping can occur on the focal point of the image.","Gherkin:
Feature: Bulk Download with Auto-focal Preset

Scenario: Download images with Auto-focal enabled preset
Given the user is on the Bulk Download screen
And has selected a Global Preset with Auto-focal enabled
When the user initiates the download
Then the system should detect the focal point of each image
And crop the images centered on the focal point
And the processed images should download in a Zip file

Python:
from behave import given, when, then

@given('the user is on the Bulk Download screen')
def step_impl(context):
    pass

@given('has selected a Global Preset with Auto-focal enabled')
def step_impl(context):
    pass

@when('the user initiates the download')
def step_impl(context):
    pass

@then('the system should detect the focal point of each image')
def step_impl(context):
    pass

@then('crop the images centered on the focal point')
def step_impl(context):
    pass

@then('the processed images should download in a Zip file')
def step_impl(context):
    pass"
7,"As a user, I want to be able to preview the GIF or Lottie File converted MP4 on the Info Preview screen so that I can preview what the animation is like before I download it","Gherkin:
Feature: Info Preview Screen

Scenario: Preview converted MP4 on Info Preview screen
Given the user is on the Info Preview screen with a file type ""GIF""
When the file is converted to MP4
Then the Previewer should display the MP4
And the MP4 should auto-play, have hidden controls, and loop
And the download should download the original ""GIF"" file
And the file type metadata should show ""GIF""
And the version file type should be ""GIF""

Python:
from behave import given, when, then

@given('the user is on the Info Preview screen with a file type ""{file_type}""')
def step_impl(context, file_type):
    pass

@when('the file is converted to MP4')
def step_impl(context):
    pass

@then('the Previewer should display the MP4')
def step_impl(context):
    pass

@then('the MP4 should auto-play, have hidden controls, and loop')
def step_impl(context):
    pass

@then('the download should download the original ""{file_type}"" file')
def step_impl(context, file_type):
    pass

@then('the file type metadata should show ""{file_type}""')
def step_impl(context, file_type):
    pass

@then('the version file type should be ""{file_type}""')
def step_impl(context, file_type):
    pass"
8,"As a user, I want GIF/Lottie file to have the first frame as the Thumbnail Preview (PNG)","Gherkin:
Feature: Thumbnail Preview

Scenario: Generate thumbnail preview for GIF/Lottie files
Given a GIF or Lottie file is uploaded
When the system processes the file
Then a static PNG image should be generated as the thumbnail
And the thumbnail should appear in the Resource List View, Resource Mosaic View, Versions, Alias, Similar, Dashboard List, Approvals List, and Collections

Python:
from behave import given, when, then

@given('a GIF or Lottie file is uploaded')
def step_impl(context):
    pass

@when('the system processes the file')
def step_impl(context):
    pass

@then('a static PNG image should be generated as the thumbnail')
def step_impl(context):
    pass

@then('the thumbnail should appear in the Resource List View, Resource Mosaic View, Versions, Alias, Similar, Dashboard List, Approvals List, and Collections')
def step_impl(context):
    pass"
9,"As a user, I want to be able to preview the GIF or Lottie File converted MP4 on the Share screen so that I can preview what the animation is like before share it","Gherkin:
Feature: Animation Preview

Scenario: Preview GIF or Lottie File converted MP4 on Share screen
Given the user is on the share screen
When the user uploads a GIF or Lottie File
Then the preview should show the converted MP4
And the controls should be hidden
And the MP4 should autoplay

Python:
from behave import given, when, then

@given('the user is on the share screen')
def step_impl(context):
    pass

@when('the user uploads a GIF or Lottie File')
def step_impl(context):
    pass

@then('the preview should show the converted MP4')
def step_impl(context):
    pass

@then('the controls should be hidden')
def step_impl(context):
    pass

@then('the MP4 should autoplay')
def step_impl(context):
    pass"
10,"As a user, I want to be able to preview the GIF or Lottie File converted MP4 on the Edit screen so that I can preview what the animation like before I Edit or upload a new version","Gherkin:
Feature: Animation Preview

Scenario: Preview GIF or Lottie File converted MP4 on Edit screen
Given the user is on the Edit/New Version screen
When the user uploads a GIF or Lottie File
Then the preview should display the converted MP4
And the controls should be hidden
And the MP4 should autoplay

Python:
from behave import given, when, then

@given('the user is on the Edit/New Version screen')
def step_impl(context):
    pass

@when('the user uploads a GIF or Lottie File')
def step_impl(context):
    pass

@then('the preview should display the converted MP4')
def step_impl(context):
    pass

@then('the controls should be hidden')
def step_impl(context):
    pass

@then('the MP4 should autoplay')
def step_impl(context):
    pass"
11,"As a user, I want to be able to preview the GIF or Lottie File converted MP4 on the Review Request screen in Approvals so that I can preview what the animation is when approving","Gherkin:
Feature: Animation Preview

Scenario: Preview GIF or Lottie File converted MP4 on Review Request screen
Given the user is on the Review Request Tab of the Approvals Screen
When the user views the animation preview
Then the preview should display the GIF or Lottie File converted MP4
And the controls should be hidden
And the MP4 should autoplay

Python:
from behave import given, when, then

@given('the user is on the Review Request Tab of the Approvals Screen')
def step_impl(context):
    pass

@when('the user views the animation preview')
def step_impl(context):
    pass

@then('the preview should display the GIF or Lottie File converted MP4')
def step_impl(context):
    pass

@then('the controls should be hidden')
def step_impl(context):
    pass

@then('the MP4 should autoplay')
def step_impl(context):
    pass"
12,"As a user, I want to be able to preview the GIF or Lottie File converted MP4 on the Versions/Revisions Screen so that I can preview what the animation is before adding a version/revision","Gherkin:
Feature: Animation Preview

Scenario: Preview GIF or Lottie File converted MP4 on Versions/Revisions Screen
Given the user is on the Version or Revision Tab of the Approvals Screen
When the user views the animation preview
Then the preview should display the GIF or Lottie File converted MP4
And the controls should be hidden
And the MP4 should autoplay

Python:
from behave import given, when, then

@given('the user is on the Version or Revision Tab of the Approvals Screen')
def step_impl(context):
    pass

@when('the user views the animation preview')
def step_impl(context):
    pass

@then('the preview should display the GIF or Lottie File converted MP4')
def step_impl(context):
    pass

@then('the controls should be hidden')
def step_impl(context):
    pass

@then('the MP4 should autoplay')
def step_impl(context):
    pass"
13,"As a user, I want to be able to see the GIF or Lottie File converted MP4 on the Markup Screen in Approvals so that I can markup the animation to get feedback and new revisions worked on","Gherkin:
Feature: Animation Preview on Markup Screen

Scenario: View converted MP4 on Markup Screen
Given the user is on the Markup Request Tab of the Approvals Screen
When the user uploads a GIF or Lottie File
Then the preview should display the converted MP4
And the PDFTron controls should be visible
And the user should be able to markup the animation

Python:
from behave import given, when, then

@given('the user is on the Markup Request Tab of the Approvals Screen')
def step_impl(context):
    pass

@when('the user uploads a GIF or Lottie File')
def step_impl(context):
    pass

@then('the preview should display the converted MP4')
def step_impl(context):
    pass

@then('the PDFTron controls should be visible')
def step_impl(context):
    pass

@then('the user should be able to markup the animation')
def step_impl(context):
    pass"
14,"As a Database Manager, I want to Allow End users to overide default and change names","Gherkin:
Feature: Configure Auto-Created Records

Scenario: Enable user updates to titles upon creation
Given the user is on the Configure Auto-Created Records page
When the user enables ""Allow User updates to Titles upon creation""
And clicks on Confirm
And clicks on Save & Close
And clicks back on the Lookup Grid
And clicks on the Configure Button
Then the option ""Allow User updates to Titles upon creation"" should be enabled

Scenario: Confirm button enabled with blank fields
Given the option ""Allow User updates to Titles upon creation"" is enabled
When some fields are blank
Then the Confirm button should be enabled

Scenario: End user component visibility when enabled
Given the option ""Allow User updates to Titles upon creation"" is enabled
Then the end user component should appear

Scenario: End user component visibility when disabled
Given the option ""Allow User updates to Titles upon creation"" is disabled
Then the end user component should not appear

Python:
from behave import given, when, then

@given('the user is on the Configure Auto-Created Records page')
def step_impl(context):
    pass

@when('the user enables ""Allow User updates to Titles upon creation""')
def step_impl(context):
    pass

@when('clicks on Confirm')
def step_impl(context):
    pass

@when('clicks on Save & Close')
def step_impl(context):
    pass

@when('clicks back on the Lookup Grid')
def step_impl(context):
    pass

@when('clicks on the Configure Button')
def step_impl(context):
    pass

@then('the option ""Allow User updates to Titles upon creation"" should be enabled')
def step_impl(context):
    pass

@given('the option ""Allow User updates to Titles upon creation"" is enabled')
def step_impl(context):
    pass

@when('some fields are blank')
def step_impl(context):
    pass

@then('the Confirm button should be enabled')
def step_impl(context):
    pass

@then('the end user component should appear')
def step_impl(context):
    pass

@given('the option ""Allow User updates to Titles upon creation"" is disabled')
def step_impl(context):
    pass

@then('the end user component should not appear')
def step_impl(context):
    pass"
15,"As a user, when no custom configs are enabled, and no workflow on parent, I see no pop-up and child records are created","Gherkin:
Feature: Child Record Creation

Scenario: No pop-up and child records are created when no custom configs are enabled
Given the ""Allow User updates to Titles upon creation"" checkbox is disabled
And no workflow request is requested for parent
When the user saves the parent record
Then no overlay should appear
And an info snackbar should appear with the message ""Linked Records are being created. Click here to open linked database.""
And child records should be created immediately

Python:
from behave import given, when, then

@given('the ""Allow User updates to Titles upon creation"" checkbox is disabled')
def step_impl(context):
    pass

@given('no workflow request is requested for parent')
def step_impl(context):
    pass

@when('the user saves the parent record')
def step_impl(context):
    pass

@then('no overlay should appear')
def step_impl(context):
    pass

@then('an info snackbar should appear with the message ""Linked Records are being created. Click here to open linked database.""')
def step_impl(context):
    pass

@then('child records should be created immediately')
def step_impl(context):
    pass"
16,"As a user, when parent record undergoes publish approval process, child records are only created when parent is approved","Gherkin:
Feature: Publish Approval Process

Scenario: Child records creation upon parent approval
Given a parent record is submitted for approval
When the parent record status becomes ""Approved""
Then child records should be created

Scenario: No child records creation on partial approval
Given a parent record is in a multi-stage approval process
When the first stage is approved
Then child records should not be created

Scenario: Auto-complete triggers child records creation
Given a parent record is set to auto-complete
When the parent record is successfully auto-completed
Then child records should be created

Scenario: Delay in child records creation for staged workflow
Given a parent record is in a staged workflow
When the final stage is approved
Then child records should be created

Python:
from behave import given, when, then

@given('a parent record is submitted for approval')
def step_impl(context):
    pass

@when('the parent record status becomes ""Approved""')
def step_impl(context):
    pass

@then('child records should be created')
def step_impl(context):
    pass

@given('a parent record is in a multi-stage approval process')
def step_impl(context):
    pass

@when('the first stage is approved')
def step_impl(context):
    pass

@then('child records should not be created')
def step_impl(context):
    pass

@given('a parent record is set to auto-complete')
def step_impl(context):
    pass

@when('the parent record is successfully auto-completed')
def step_impl(context):
    pass

@given('a parent record is in a staged workflow')
def step_impl(context):
    pass

@when('the final stage is approved')
def step_impl(context):
    pass"
17,"As a user, I want to see snackbars when submitting/ saving parent record to let me know children will be created","Gherkin:
Feature: Snackbar Notifications

Scenario: Display snackbar when child records are delayed
Given auto-create child records is enabled
When the user submits a parent record ""{record}"" for approval
Then the snackbar should display ""{record} submitted for approval. Linked {record(s)} will be created in the {database_name} when this {record} is approved.""

Scenario: Display snackbar when child records are created immediately
Given auto-create child records is enabled
When the user submits a parent record ""{record}""
Then the snackbar should display ""{record} submitted. Linked {record(s)} are being created in the {database_name}.""

Scenario: Display snackbar with auto-created folders on delay
Given auto-create child records is enabled
When the user submits a parent record ""{record}"" for approval with auto-folder creation
Then the snackbar should display ""{record} submitted for approval. Auto-created Folders and linked {record(s)} will be created once approved.""

Scenario: Display snackbar with auto-created folders immediately
Given auto-create child records is enabled
When the user submits a parent record ""{record}"" with auto-folder creation
Then the snackbar should display ""{record} submitted. Linked {record(s)} and Auto-Created Folders are being created. Folders may take a few minutes to appear.""

Python:
from behave import given, when, then

@given('auto-create child records is enabled')
def step_impl(context):
    pass

@when('the user submits a parent record ""{record}"" for approval')
def step_impl(context, record):
    pass

@when('the user submits a parent record ""{record}""')
def step_impl(context, record):
    pass

@when('the user submits a parent record ""{record}"" for approval with auto-folder creation')
def step_impl(context, record):
    pass

@when('the user submits a parent record ""{record}"" with auto-folder creation')
def step_impl(context, record):
    pass

@then('the snackbar should display ""{message}""')
def step_impl(context, message):
    pass"
18,"As a Database Manager, I want to allow end users to Add More child records ('Add More')","Gherkin:
Feature: Configure Auto-Created Records

Scenario: Enable 'Add More' option for child records
Given the user is on the Configure Auto-Created Records overlay
And the ""Allow User updates to Titles upon creation"" setting is visible
When the user checks the ""Allow User to Add More {Recordcustomnameplural}"" checkbox
Then the checkbox should be enabled
And a tooltip should display ""If selected, users will be able to add more {Record} Titles (Names) to be created alongside those configured here. Up to 30 {Records} can be created.""

Python:
from behave import given, when, then

@given('the user is on the Configure Auto-Created Records overlay')
def step_impl(context):
    pass

@given('the ""Allow User updates to Titles upon creation"" setting is visible')
def step_impl(context):
    pass

@when('the user checks the ""Allow User to Add More {Recordcustomnameplural}"" checkbox')
def step_impl(context):
    pass

@then('the checkbox should be enabled')
def step_impl(context):
    pass

@then('a tooltip should display ""If selected, users will be able to add more {Record} Titles (Names) to be created alongside those configured here. Up to 30 {Records} can be created.""')
def step_impl(context):
    pass"
19,"As a Database Manager, I want to allow end users to Add More child records ('Add More') - Handle maximum child records","Gherkin:
Feature: Manage Child Records

Scenario: Handle maximum child records
Given the form builder is configured with ""Allow User to Add More {Recordcustomnameplural}""
And there are 30 child records in the configuration
When the user tries to add another child record
Then the ""Allow User to Add More {Recordcustomnameplural}"" should be disabled
And the hover text should display ""The max 30 {Records} has been added here. Remove any of the above to allow users to add more.""

Python:
from behave import given, when, then

@given('the form builder is configured with ""Allow User to Add More {Recordcustomnameplural}""')
def step_impl(context, Recordcustomnameplural):
    pass

@given('there are 30 child records in the configuration')
def step_impl(context):
    pass

@when('the user tries to add another child record')
def step_impl(context):
    pass

@then('the ""Allow User to Add More {Recordcustomnameplural}"" should be disabled')
def step_impl(context, Recordcustomnameplural):
    pass

@then('the hover text should display ""The max 30 {Records} has been added here. Remove any of the above to allow users to add more.""')
def step_impl(context, Records):
    pass"
20,"As a user, if child database has been edited and title field is no longer a valid text field, then users do not see a end user config pop-up overlay and no child records are created","Gherkin:
Feature: Child Database Update

Scenario: No end user config pop-up and no child records created when title field is invalid
Given the original Auto Create setting is saved in the parent
And the Database Manager updates the child Form Builder with a non-text title field
When an end user accesses the system
Then no end user config pop-up overlay should be displayed
And no child records should be created

Python:
from behave import given, when, then

@given('the original Auto Create setting is saved in the parent')
def step_impl(context):
    pass

@given('the Database Manager updates the child Form Builder with a non-text title field')
def step_impl(context):
    pass

@when('an end user accesses the system')
def step_impl(context):
    pass

@then('no end user config pop-up overlay should be displayed')
def step_impl(context):
    pass

@then('no child records should be created')
def step_impl(context):
    pass"
21,"As a user, I can deselect items to not apply bulk changes to","Gherkin:
Feature: Bulk Apply to Selected

Scenario: Deselect items to exclude from bulk changes
Given the user has selected multiple resources
And some resources are de-selected
When the user enters new data in bulk Main Details, Tags, Filters, Custom Upload Fields, and/or Workflows
And selects 'Apply to Selected'
Then only the selected resources should receive the updates

Python:
from behave import given, when, then

@given('the user has selected multiple resources')
def step_impl(context):
    pass

@given('some resources are de-selected')
def step_impl(context):
    pass

@when('the user enters new data in bulk Main Details, Tags, Filters, Custom Upload Fields, and/or Workflows')
def step_impl(context):
    pass

@when('selects ""Apply to Selected""')
def step_impl(context):
    pass

@then('only the selected resources should receive the updates')
def step_impl(context):
    pass"
22,"As a user, I want to see exclusion message / handling for non-supported file types should I select any to Bulk Edit, on Bulk edit screen","Gherkin:
Feature: Bulk Edit Exclusion Handling

Scenario: Display exclusion message for non-supported file types
Given the user is on the Bulk Edit screen
When the user selects non-supported file types for Bulk Edit
Then a snackbar should display the message ""X Resource/s are not supported for Bulk Edit.""

Python:
from behave import given, when, then

@given('the user is on the Bulk Edit screen')
def step_impl(context):
    pass

@when('the user selects non-supported file types for Bulk Edit')
def step_impl(context):
    pass

@then('a snackbar should display the message ""X Resource/s are not supported for Bulk Edit.""')
def step_impl(context):
    pass"
23,"As a user, I want to see an Exit without saving warning when I try to leave the Bulk Edit Page/Process","Gherkin:
Feature: Exit without saving warning

Scenario: User tries to exit Bulk Edit without saving
Given the user is on the Bulk Edit page
When the user clicks Exit/Cancel
Then an abandon pop-up should appear with title ""Exit without saving Resources""
And the pop-up text should be ""If you click the Exit button, none of the Resources currently on your Bulk Edit screen will be updated. To Save your Edits, Cancel this popup and click Save Changes.""
And the pop-up should have a ""Cancel"" button that returns the user to the Bulk Edit page
And an ""Exit"" button that exits the user and returns them to the folder

Python:
from behave import given, when, then

@given('the user is on the Bulk Edit page')
def step_impl(context):
    pass

@when('the user clicks Exit/Cancel')
def step_impl(context):
    pass

@then('an abandon pop-up should appear with title ""Exit without saving Resources""')
def step_impl(context):
    pass

@then('the pop-up text should be ""If you click the Exit button, none of the Resources currently on your Bulk Edit screen will be updated. To Save your Edits, Cancel this popup and click Save Changes.""')
def step_impl(context):
    pass

@then('the pop-up should have a ""Cancel"" button that returns the user to the Bulk Edit page')
def step_impl(context):
    pass

@then('an ""Exit"" button that exits the user and returns them to the folder')
def step_impl(context):
    pass"
24,"As a user, I want to Filter within my selected Resources on my Bulk Edit page (Left Panel Resource selection updates)","Gherkin:
Feature: Bulk Edit Resource Filtering

Scenario: Filter resources by status on Bulk Edit page
Given the user is on the Bulk Edit page
When the user selects the ""Errors"" filter in the left panel
Then only resources with errors should be displayed

Python:
from behave import given, when, then

@given('the user is on the Bulk Edit page')
def step_impl(context):
    pass

@when('the user selects the ""{filter_option}"" filter in the left panel')
def step_impl(context, filter_option):
    pass

@then('only resources with errors should be displayed')
def step_impl(context):
    pass"
