id,Title,Authors,Year,Venue,Search Query,Source URL,v1_decision,v1_reason,v2_decision,v2_reason
1,An Empirical Evaluation of Using Large Language Models for Automated Unit Test Generation,Max Schäfer; Sarah Nadi; Aryaz Eghbali; Frank Tip,2024,IEEE Transactions on Software Engineering / arXiv,String A,https://arxiv.org/abs/2302.06527,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,INCLUDE,"Full text matches IC1–IC5 and provides usable evidence for tool/model, dataset, metrics, results, and limitations"
2,Using Large Language Models to Generate JUnit Tests: An Empirical Study,Mohammed Latif Siddiq; Joanna C. S. Santos; Ridwanul Hasan Tanvir; et al.,2024,EASE / ACM,String A,https://arxiv.org/abs/2305.00418,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,INCLUDE,"Full text matches IC1–IC5 and provides usable evidence for tool/model, dataset, metrics, results, and limitations"
3,CODAMOSA: Escaping Coverage Plateaus in Test Generation with Pre-trained Large Language Models,Caroline Lemieux; Jeevana Priya Inala; Shuvendu K. Lahiri; Siddhartha Sen,2023,ICSE,String A,https://www.microsoft.com/en-us/research/publication/codamosa-escaping-coverage-plateaus-in-test-generation-with-pre-trained-large-language-models/,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,INCLUDE,"Full text matches IC1–IC5 and provides usable evidence for tool/model, dataset, metrics, results, and limitations"
4,ChatUniTest: A Framework for LLM-Based Test Generation,Yinghao Chen; Zehao Hu; Chen Zhi; Junxiao Han; Shuiguang Deng; Jianwei Yin,2024,FSE Demonstrations / ACM,String A,https://arxiv.org/abs/2305.04764,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,INCLUDE,"Full text matches IC1–IC5 and provides usable evidence for tool/model, dataset, metrics, results, and limitations"
5,Effective Test Generation Using Pre-trained Large Language Models and Mutation Testing,Abdullah M. Dakhel; et al.,2024,Information and Software Technology,String A,https://www.sciencedirect.com/science/article/abs/pii/S0950584924000739,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,INCLUDE,"Full text matches IC1–IC5 and provides usable evidence for tool/model, dataset, metrics, results, and limitations"
6,Effective High Coverage Test Generation for Python,Jason A. Pizzorno; Isil Dillig,2024,arXiv,String A,https://arxiv.org/pdf/2403.16218,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,INCLUDE,"Full text matches IC1–IC5 and provides usable evidence for tool/model, dataset, metrics, results, and limitations"
7,An Empirical Study of Unit Test Generation with Large Language Models,Authors not fixed in this draft; arXiv 2406.18181,2024,arXiv,String A,https://arxiv.org/html/2406.18181v1,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,INCLUDE,"Full text matches IC1–IC5 and provides usable evidence for tool/model, dataset, metrics, results, and limitations"
8,Mutation-Guided LLM-based Test Generation at Meta,Christopher Foster; Abhishek Gulati; Mark Harman; Inna Harper; Ke Mao; Jillian Ritchey; Hervé Robert; Shubho Sengupta,2025,ACM / arXiv,String A,https://arxiv.org/abs/2501.12862,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,INCLUDE,"Full text matches IC1–IC5 and provides usable evidence for tool/model, dataset, metrics, results, and limitations"
9,A System for Automated Unit Test Generation using Large Language Models,A. Lops; et al.,2025,ICSTW / IEEE Computer Society,String A,https://www.computer.org/csdl/proceedings-article/icstw/2025/10962454/25XCINU54be,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,INCLUDE,"Full text matches IC1–IC5 and provides usable evidence for tool/model, dataset, metrics, results, and limitations"
10,Evaluating LLM-Based Test Generation Under Software Evolution,Sabaat Haroon; Mohammad Taha Khan; Muhammad Ali Gulzar,2026,arXiv,String A,https://arxiv.org/abs/2603.23443,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,INCLUDE,"Full text matches IC1–IC5 and provides usable evidence for tool/model, dataset, metrics, results, and limitations"
11,LLM-based Mockless Unit Test Generation for Java,Qinghua Xu; Guancheng Wang; Lionel Briand; Zhaoqiang Guo; Kui Liu,2026,arXiv,String B,https://arxiv.org/abs/2605.26851,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,INCLUDE,"Full text matches IC1–IC5 and provides usable evidence for tool/model, dataset, metrics, results, and limitations"
12,Enhancing Automated Unit Test Generation with Large Language Models,J. Zhang; et al.,2025,ACM review article,String B,https://dl.acm.org/doi/10.1145/3802827,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,INCLUDE,"Full text matches IC1–IC5 and provides usable evidence for tool/model, dataset, metrics, results, and limitations"
13,On the Evaluation of Large Language Models in Unit Test Generation,Lingming Yang; et al.,2024,ASE / Software Testing Research,String B,https://github.com/iSEngLab/AwesomeLLM4UT,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,INCLUDE,"Full text matches IC1–IC5 and provides usable evidence for tool/model, dataset, metrics, results, and limitations"
14,Evaluating and Improving ChatGPT for Unit Test Generation,Software Engineering Research Authors,2024,FSE / Software Engineering,String B,https://github.com/iSEngLab/AwesomeLLM4UT,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,INCLUDE,"Full text matches IC1–IC5 and provides usable evidence for tool/model, dataset, metrics, results, and limitations"
15,Enhancing LLM-based Test Generation for Hard-to-Cover Branches via Program Analysis,Software Testing Research Authors,2024,arXiv,String B,https://github.com/iSEngLab/AwesomeLLM4UT,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,INCLUDE,"Full text matches IC1–IC5 and provides usable evidence for tool/model, dataset, metrics, results, and limitations"
16,LLM-Powered Test Case Generation for Detecting Tricky Bugs,Software Engineering Research Authors,2024,arXiv,String B,https://github.com/iSEngLab/AwesomeLLM4UT,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,INCLUDE,"Full text matches IC1–IC5 and provides usable evidence for tool/model, dataset, metrics, results, and limitations"
17,A Large-scale Empirical Study on Fine-tuning Large Language Models for Unit Testing,Unit Testing Research Authors,2024,Preprint / ResearchGate record,String B,https://www.researchgate.net/publication/387351036_A_Large-scale_Empirical_Study_on_Fine-tuning_Large_Language_Models_for_Unit_Testing,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,INCLUDE,"Full text matches IC1–IC5 and provides usable evidence for tool/model, dataset, metrics, results, and limitations"
18,ChatUniTest Core and Toolchain for Automated Unit Testing,Yinghao Chen; Zehao Hu; et al.,2024,Tool artifact / GitHub,String B,https://github.com/ZJU-ACES-ISE/ChatUniTest,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,INCLUDE,"Full text matches IC1–IC5 and provides usable evidence for tool/model, dataset, metrics, results, and limitations"
19,Candidate Study 19: LLM Support for Software Testing and Code Quality,Screening candidate authors,2023,IEEE,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening,EXCLUDE,EC4: full text unavailable or insufficient details
