ID,User Story,Output
1,"As a user, I want to enable image tagging from the Asset Intelligence section in the MCP settings","Feature: Enable Image Tagging in MCP Settings

Scenario: Enable Image Tagging and verify Azure settings

Given the user is on the MCP settings page under Asset Intelligence
And the Enable Video / Audio Tagging setting is visible
When the user enables the Enable Image Tagging setting
Then the platform should ignore Imagga functionality
And the Azure Image Processing Limit (Images) (per billing cycle) setting should be visible
And the Azure Video Processing Limit (minutes) (per billing cycle) setting should be updated

Python:

from behave import given, when, then

@given('the user is on the MCP settings page under Asset Intelligence')
def step_impl(context):
    pass

@given('the Enable Video / Audio Tagging setting is visible')
def step_impl(context):
    pass

@when('the user enables the Enable Image Tagging setting')
def step_impl(context):
    pass

@then('the platform should ignore Imagga functionality')
def step_impl(context):
    pass

@then('the Azure Image Processing Limit (Images) (per billing cycle) setting should be visible')
def step_impl(context):
    pass

@then('the Azure Video Processing Limit (minutes) (per billing cycle) setting should be updated')
def step_impl(context):
    pass"
2,"As an IB team member, I want to be able to enable an Auto-Focal setting in MCP so that I can control all the settings from one place.","Gherkin:

Feature: Manage Auto-Focal Setting in MCP

Scenario: Enable Auto-Focal Setting

Given the MCP is accessible
And the user is in the Development Use Only area
And the ""Resources - Preset Auto-Focal"" setting is available
When the user enables the ""Resources - Preset Auto-Focal"" toggle
Then Auto-focal tickets should become enabled on the platform

Python:

from behave import given, when, then

@given('the MCP is accessible')
def step_impl(context):
    pass

@given('the user is in the Development Use Only area')
def step_impl(context):
    pass

@given('the ""Resources - Preset Auto-Focal"" setting is available')
def step_impl(context):
    pass

@when('the user enables the ""Resources - Preset Auto-Focal"" toggle')
def step_impl(context):
    pass

@then('Auto-focal tickets should become enabled on the platform')
def step_impl(context):
    pass"
3,"As an IB team member, I want to be able to enable a GIF/Lottie setting in MCP so that I can control all the settings from one place","Gherkin:

Feature: Manage GIF/Lottie Preview Support Setting

Scenario: Enable GIF/Lottie Preview Support

Given the MCP is accessed by an IB team member
And the ""Resources - GIF/Lottie Preview Support"" setting is located in the Development Use Only area
When the team member enables the ""Resources - GIF/Lottie Preview Support"" toggle
Then all GIF/Lottie Preview features should be enabled on the platform

Python:

from behave import given, when, then

@given('the MCP is accessed by an IB team member')
def step_impl(context):
    pass

@given('the ""Resources - GIF/Lottie Preview Support"" setting is located in the Development Use Only area')
def step_impl(context):
    pass

@when('the team member enables the ""Resources - GIF/Lottie Preview Support"" toggle')
def step_impl(context):
    pass

@then('all GIF/Lottie Preview features should be enabled on the platform')
def step_impl(context):
    pass"
4,"As a user, I want to be able to upload a GIF and have it automatically converted into a MP4 file so that I can view it in the previewer.","Feature: GIF to MP4 Conversion

Scenario: Convert uploaded GIF to MP4

Given a user has a GIF file ready for upload
And the GIF file is uploaded to the platform
When the system processes the uploaded GIF
Then the GIF should be converted to an MP4 file
And the MP4 should be stored alongside the original GIF

Python:

from behave import given, when, then

@given('a user has a GIF file ready for upload')
def step_given_user_has_gif(context):
    context.gif_file = ""path/to/gif/file.gif""

@given('the GIF file is uploaded to the platform')
def step_given_gif_uploaded(context):
    context.uploaded = True

@when('the system processes the uploaded GIF')
def step_when_system_processes_gif(context):
    if context.uploaded:
        context.mp4_file = ""path/to/mp4/file.mp4""

@then('the GIF should be converted to an MP4 file')
def step_then_gif_converted_to_mp4(context):
    assert context.mp4_file is not None

@then('the MP4 should be stored alongside the original GIF')
def step_then_mp4_stored(context):
    assert context.mp4_file == ""path/to/mp4/file.mp4"""
5,"As a user, I want to be able to upload a Lottie File and have it automatically converted into a MP4 file so that I can view it in the previewer.","Gherkin:

Feature: Convert Lottie File to MP4

Scenario: Successful conversion of uploaded Lottie File to MP4

Given a user has a valid Lottie File
And the user is on the upload page
When the user uploads the Lottie File
Then the system should convert the Lottie File to an MP4
And the MP4 should be stored alongside the original Lottie File
And the MP4 should be available for preview

Python:

from behave import given, when, then

@given('a user has a valid Lottie File')
def step_given_user_has_valid_lottie_file(context):
    context.lottie_file = ""path/to/valid/lottie.json""

@given('the user is on the upload page')
def step_given_user_on_upload_page(context):
    context.page = ""upload_page""

@when('the user uploads the Lottie File')
def step_when_user_uploads_lottie_file(context):
    context.upload_success = upload_lottie_file(context.lottie_file)

@then('the system should convert the Lottie File to an MP4')
def step_then_system_converts_to_mp4(context):
    context.mp4_file = convert_to_mp4(context.lottie_file)
    assert context.mp4_file is not None

@then('the MP4 should be stored alongside the original Lottie File')
def step_then_mp4_stored(context):
    assert check_storage(context.lottie_file, context.mp4_file)

@then('the MP4 should be available for preview')
def step_then_mp4_available_for_preview(context):
    assert is_available_for_preview(context.mp4_file)"
6,"As a user, I want to be select a Preset that has auto-focal enabled, on multiple images from the Bulk Download Screen, so that the cropping can occur on the focal point of the image.","Gherkin:

Feature: Bulk Download with Auto-focal Preset

Scenario: Download images with Auto-focal enabled preset

Given the user is on the Bulk Download screen
And the user has selected a Global Preset with Auto-focal enabled
When the user initiates the download of images
Then the system detects the focal point of each image
And the crop area is centered on the focal point
And the images are downloaded in a Zip file

Python:

from behave import given, when, then

@given('the user is on the Bulk Download screen')
def step_given_user_on_bulk_download_screen(context):
    pass

@given('the user has selected a Global Preset with Auto-focal enabled')
def step_given_user_selected_auto_focal_preset(context):
    pass

@when('the user initiates the download of images')
def step_when_user_initiates_download(context):
    pass

@then('the system detects the focal point of each image')
def step_then_system_detects_focal_point(context):
    pass

@then('the crop area is centered on the focal point')
def step_then_crop_area_centered(context):
    pass

@then('the images are downloaded in a Zip file')
def step_then_images_downloaded_in_zip(context):
    pass"
7,"As a user, I want to be able to preview the GIF or Lottie File converted MP4 on the Info Preview screen so that I can preview what the animation is like before I download it","Gherkin:

Feature: Preview Animation on Info Preview Screen

Scenario: Auto-play converted MP4 on Info Preview Screen

Given the user is on the Info Preview page
And the file type is a GIF or Lottie
When the Info Preview screen loads
Then the converted MP4 should auto-play on a loop
And the video controls should be hidden
And the file type metadata should show GIF/Lottie
And the version file type should be GIF/Lottie

Python:

from behave import given, when, then

@given('the user is on the Info Preview page')
def step_given_user_on_info_preview_page(context):
    pass

@given('the file type is a GIF or Lottie')
def step_given_file_type_is_gif_or_lottie(context):
    pass

@when('the Info Preview screen loads')
def step_when_info_preview_screen_loads(context):
    pass

@then('the converted MP4 should auto-play on a loop')
def step_then_mp4_auto_plays_on_loop(context):
    pass

@then('the video controls should be hidden')
def step_then_video_controls_hidden(context):
    pass

@then('the file type metadata should show GIF/Lottie')
def step_then_file_type_metadata_shows_gif_lottie(context):
    pass

@then('the version file type should be GIF/Lottie')
def step_then_version_file_type_is_gif_lottie(context):
    pass"
8,"As a user, I want GIF/Lottie file to have the first frame as the Thumbnail Preview (PNG)","Feature: Thumbnail Preview for GIF/Lottie Files

Scenario: Generate PNG Thumbnail from First Frame

Given a GIF or Lottie file is uploaded
And the file is available in the Resource List View
When the system processes the file for thumbnail generation
Then the first frame of the file is saved as a PNG thumbnail
And the PNG thumbnail is displayed in the Resource List View
And the PNG thumbnail is displayed in the Resource Mosaic View
And the PNG thumbnail is displayed in the Versions section
And the PNG thumbnail is displayed in the Alias section
And the PNG thumbnail is displayed in the Similar section
And the PNG thumbnail is displayed in the Dashboard List
And the PNG thumbnail is displayed in the Approvals List
And the PNG thumbnail is displayed in the Collections

Python:

from behave import given, when, then

@given('a GIF or Lottie file is uploaded')
def step_given_file_uploaded(context):
    pass

@given('the file is available in the Resource List View')
def step_given_file_in_resource_list(context):
    pass

@when('the system processes the file for thumbnail generation')
def step_when_system_processes_file(context):
    pass

@then('the first frame of the file is saved as a PNG thumbnail')
def step_then_save_first_frame_as_png(context):
    pass

@then('the PNG thumbnail is displayed in the Resource List View')
def step_then_display_in_resource_list(context):
    pass

@then('the PNG thumbnail is displayed in the Resource Mosaic View')
def step_then_display_in_resource_mosaic(context):
    pass

@then('the PNG thumbnail is displayed in the Versions section')
def step_then_display_in_versions(context):
    pass

@then('the PNG thumbnail is displayed in the Alias section')
def step_then_display_in_alias(context):
    pass

@then('the PNG thumbnail is displayed in the Similar section')
def step_then_display_in_similar(context):
    pass

@then('the PNG thumbnail is displayed in the Dashboard List')
def step_then_display_in_dashboard_list(context):
    pass

@then('the PNG thumbnail is displayed in the Approvals List')
def step_then_display_in_approvals_list(context):
    pass

@then('the PNG thumbnail is displayed in the Collections')
def step_then_display_in_collections(context):
    pass"
9,"As a user, I want to be able to preview the GIF or Lottie File converted MP4 on the Share screen so that I can preview what the animation is like before share it","Feature: Preview animation on Share screen

Scenario: User previews GIF or Lottie File converted MP4

Given the user is on the Share screen
And a GIF or Lottie File has been converted to MP4
When the user views the Share screen
Then the MP4 preview should autoplay
And the controls should be hidden

Python:

from behave import given, when, then

@given('the user is on the Share screen')
def step_given_user_on_share_screen(context):
    pass

@given('a GIF or Lottie File has been converted to MP4')
def step_given_file_converted_to_mp4(context):
    pass

@when('the user views the Share screen')
def step_when_user_views_share_screen(context):
    pass

@then('the MP4 preview should autoplay')
def step_then_mp4_autoplay(context):
    pass

@then('the controls should be hidden')
def step_then_controls_hidden(context):
    pass"
10,"As a user, I want to be able to preview the GIF or Lottie File converted MP4 on the Edit screen so that I can preview what the animation like before I Edit or upload a new version","Gherkin:

Feature: Preview Animation on Edit Screen

Scenario: User previews converted MP4 animation

Given the user is on the Edit/New Version screen
And a GIF or Lottie file has been converted to MP4
When the user views the animation preview
Then the MP4 should autoplay
And the controls should be hidden

Python:

from behave import given, when, then

@given('the user is on the Edit/New Version screen')
def step_given_user_on_edit_screen(context):
    pass

@given('a GIF or Lottie file has been converted to MP4')
def step_given_file_converted_to_mp4(context):
    pass

@when('the user views the animation preview')
def step_when_user_views_animation_preview(context):
    pass

@then('the MP4 should autoplay')
def step_then_mp4_should_autoplay(context):
    pass

@then('the controls should be hidden')
def step_then_controls_should_be_hidden(context):
    pass"
