id,Title,Authors,Year,Venue,Search Query,v1_decision,v1_reason,v2_decision,v2_reason
1,Fault-based analysis of cyber physical systems,N Manjunath,2021,repositum.tuwien.at,StringB,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
2,Integrating static taint analysis in an iterative software development life cycle,"T Lie, P Ellingsen - 3rd Int. Conf. Adv. Trends Softw. Eng, 2017",2026,personales.upv.es,StringB,INCLUDE,"IC1, IC2, IC3, IC4",Exclude,EC2 - Không tải được full-text/PDF
3,Investigating System Dependability Modeling Using AADL,"B Hall, KR Driscoll, G Madl",2013,ntrs.nasa.gov,StringB,EXCLUDE,IC2 - xuất bản trước 2018 (năm 2013),,
4,[TRÍCH DẪN] Validating and Verifying Memory Safety for Concurrent Operating System Code,JT Mühlberg,2006,Citeseer,StringB,EXCLUDE,IC1 - không viết bằng tiếng Anh,,
5,Diagnostic Test Compaction of Functional Test Sequences,"I Pomeranz - IEEE Access, 2025",2026,ieeexplore.ieee.org,StringB,INCLUDE,"IC1, IC2, IC3, IC4",Exclude,EC2 - Không tải được full-text/PDF
6,Automatisering av kravhantering inom assuranssytem: En studie om möjligheterna med artificiell intelligens inom kravhantering,"A Ringvall Östergren, E Grefberg",2024,diva-portal.org,StringB,EXCLUDE,IC1 - không viết bằng tiếng Anh,,
7,Linguagens e ferramentas utilizadas na especificação formal de software: uma revisão de escopo,"CAN Marques, MAF da Silva… - Revista …, 2025",2026,periodicos.ifpb.edu.br,StringB,EXCLUDE,IC1 - không viết bằng tiếng Anh,,
8,Miglioramento Continuo con l'Uso di Data Analysis e Pianificazione AIT Satellitare= Continuous Improvement with the Use of Data Analysis and Satellite AIT Planning,"A Huguenin, P Bertrand",2025,webthesis.biblio.polito.it,StringB,EXCLUDE,IC1 - không viết bằng tiếng Anh,,
9,Comparison of different controller architectures for autonomous driving and recommendations for robust and safe implementations,"MA Shadab Siddiqui, MS Rabbi… - Journal of Advanced …, 2025",2026,Wiley Online Library,StringB,EXCLUDE,EC4 - không liên quan đến test generation / BDD / LLM,,
10,[TRÍCH DẪN] Програмне забезпечення для автоматичного тестування GUI на Android,АП Дубовик,2024,КПІ ім. Ігоря Сікорського,StringB,EXCLUDE,IC1 - không viết bằng tiếng Anh,,
