ID,User Story,Requirements,Manual Scenario
362,"Rename ""Simple"" Page to ""Smart"" Page","1. Be able to see the keyword updated to “Smart“ Page, instead of “Simple“ Page (front-end) in the Brand Page MVP  project scope, see detailed locations to rename the keyword as below:
|| ||*Location to rename*||
|1|V2 Index List > Add a Page:","Scenario: Renaming 'Simple Page' to 'Smart Page' in the V2 Index List's 'Add a Page'
Given a user is on the V2 Index List
When the user selects the 'Add a Page' option
Then they should see an option labeled 'Smart Page' instead of 'Simple Page'"
74,"As a User, I want MCP Setting for Kanban Sort Options Updates","1. Add new below setting under *Development Use Only* section Databases - Kanban Sort Options, Location wise, this can be added to bottom of dev section under *Databases - Single User Record Edit Restriction*","Scenario: New Setting for Kanban Sort Options Appears in Development Use Only Section
Given a user is viewing the settings page
When they navigate to the Development Use Only section
Then a new setting ""Databases - Kanban Sort Options"" should be displayed
And it should be located at the bottom of the section under ""Databases - Single User Record Edit Restriction""
"
375,MCP setting for new Grouped Approval types,"1. New MCP setting listed under *Development Use Only* section
2. Setting: *Approvals - Approvals List (V3) - Grouped Approvals - Record File & Resource Publish (development use only):*","Scenario: Adding a New Setting Under ""Development Use Only"" in MCP
Given an administrator is logged into the Management Control Panel (MCP)
And the administrator navigates to the ""Settings"" section
When the administrator scrolls to the ""Development Use Only"" section
Then they should see a setting labeled ""Approvals - Approvals List (V3) - Grouped Approvals - Record File & Resource Publish (development use only)""
And this setting should be configurable as per the system's standard configuration options"
156,"As a User, I want to set up Session Based Digest Email in My Account Alerts (Markup) for Comment Status Updates, Edited Comments, Deleted Comments, and New Revisions","1. Be able to see and choose ‘Session’ via *My Account* > *Alerts (Markup)* in the *Digest Frequency* drop-down menu for:
2. Updates to Comment status
3. Edited Comments
","Scenario: Select ‘Session’ Option in Digest Frequency Drop-Down for Markup Alerts
Given the user navigates to My Account > Alerts (Markup)
When the user opens the Digest Frequency drop-down menu
Then the ‘Session’ option should be available for selection
And the user should be able to choose ‘Session’ for the following alert types:
Updates to Comment Status
Edited Comments





"
105,"As a User, I should not see the Page Category dropdown when viewing Pages if none of them are assigned to Category","1. Be able to see only Pages from the Left Panel when viewing a Page, if all the pages the user has access to view are all not associated with any Page Category","Scenario: User does not see the Page Category dropdown if no pages have a category  
    Given the user is viewing Pages in the Left Panel  
    And none of the pages the user has access to are assigned to a Page Category  
    When the user navigates to the Pages view  
    Then the Page Category dropdown should not be displayed  
    And only the list of Pages should be visible in the Left Panel  "
395,"PB - As a User, I want to configure permissions of sub-pages in Admin -> Group","1. Be able to see and configure sub-pages under their parent pages in line with design of resource folder/sub-folders in Admin - Group - Permission
2. Be able to trigger propagation in line with the same logic of resource folder/sub-folders in Admin - Group - Permission","Scenario: Configure and Propagate Permissions for Sub-Pages Under Parent Pages
Given an administrator is in the Admin - Group - Permission section
When the administrator views the list of pages
Then sub-pages should be displayed nested under their respective parent pages, consistent with the design of resource folders and sub-folders
When the administrator sets permissions on a parent page
And chooses to propagate these permissions
Then the system should apply the same permissions to all sub-pages under that parent page, following the same logic used for resource folders and sub-folders
And the administrator should receive a confirmation that permissions have been successfully propagated to all sub-pages"
378,"PB - As a User, I want the status of  Resource added via Resource Lookup to be linked with Resource module - unsupported resource type scenario","1.Be able to link the status with the the Resources added to Page Builder via Resource Lookup:
2. Image as Image Widget
3. Video as Video Widget","Scenario: Display Resource Status for Widgets Added via Resource Lookup in Page Builder
Given a user is in the Page Builder's editing mode
When the user adds an Image Resource as an Image Widget via the Resource Lookup
Then the status of the Image Resource should be displayed within the Image Widget
And when the user adds a Video Resource as a Video Widget via the Resource Lookup
Then the status of the Video Resource should be displayed within the Video Widget"
125,"As a config user, I want to see/enable a new Setting in Admin > Template for Workflows for Collaborators in Approvals [Resource Feedback]","1. Once MCP setting is enabled, new setting displays for Resource Feedback Workflow Templates
2. This applies for existing and new templates","Scenario: Display New Setting for Resource Feedback Workflow Templates When MCP is Enabled
Given the MCP setting is enabled
When a user views the settings for Resource Feedback Workflow Templates
Then a new setting should be displayed
And the new setting should be available for both existing and new templates"
69,"As a User, I want to update UI & logic around selecting Jobs in Info Preview panel for preview + closing them to return to Resource preview","1. Implement changes to selecting and closing Jobs Previews, as per provided designs  

2. We will retain the existing behavior, where the selected Job needs to be re-clicked to switch the Preview back to the Template instead of the Job. Additionally, we will add another option for the user to close the Job preview.","Scenario: Users can close Job Previews and switch back to the Template
Given a user has selected a Job and is viewing its Preview
When the user re-clicks the selected Job
Then the Preview should switch back to the Template

When the user chooses the new close option for the Job Preview
Then the Job Preview should close
And the Template view should be restored"
451,As a user I want to click 'Review Request' action in action dropdown in footer to open Bulk Approve Page (action redirect),"1. When Bulk ‘Review Request’ action is clicked, as done in, then the Bulk Review Request page opens","Scenario: Navigating to the Bulk Review Request Page
Given I am a user with appropriate permissions
When I click on the 'Bulk Review Request' action
Then the Bulk Review Request page should open"
