ID,User Story,Output
1,"As a user, I want to enable image tagging from the Asset Intelligence section in the MCP settings","Gherkin:
Feature: Enable Image Tagging in MCP Settings

  Scenario: User enables Image Tagging in Asset Intelligence
    Given the user is on the MCP settings page under Asset Intelligence
    When the user enables the ""Enable Image Tagging"" setting
    Then the platform should use Azure for image tagging
    And the ""Azure Image Processing Limit (Images) (per billing cycle)"" setting should be visible
    And the ""Azure Video Processing Limit (minutes) (per billing cycle)"" setting should be updated

Python:
from behave import given, when, then

@given('the user is on the MCP settings page under Asset Intelligence')
def step_given_user_on_mcp_settings_page(context):
    context.browser.get('https://example.com/mcp-settings/asset-intelligence')

@when('the user enables the ""Enable Image Tagging"" setting')
def step_when_user_enables_image_tagging(context):
    enable_image_tagging_checkbox = context.browser.find_element_by_id('enable-image-tagging')
    if not enable_image_tagging_checkbox.is_selected():
        enable_image_tagging_checkbox.click()

@then('the platform should use Azure for image tagging')
def step_then_platform_uses_azure(context):
    assert context.platform.image_tagging_service == 'Azure'

@then('the ""Azure Image Processing Limit (Images) (per billing cycle)"" setting should be visible')
def step_then_azure_image_processing_limit_visible(context):
    azure_image_limit = context.browser.find_element_by_id('azure-image-processing-limit')
    assert azure_image_limit.is_displayed()

@then('the ""Azure Video Processing Limit (minutes) (per billing cycle)"" setting should be updated')
def step_then_azure_video_processing_limit_updated(context):
    azure_video_limit = context.browser.find_element_by_id('azure-video-processing-limit')
    assert 'minutes' in azure_video_limit.text"
2,"As an IB team member, I want to be able to enable an Auto-Focal setting in MCP so that I can control all the settings from one place.","Gherkin:
Feature: Enable Auto-Focal Setting in MCP

  Scenario: Enable Auto-Focal setting via MCP toggle
    Given I am on the MCP Development Use Only area
    And the ""Resources - Preset Auto-Focal"" setting is available
    When I enable the ""Resources - Preset Auto-Focal"" toggle
    Then Auto-focal tickets should become enabled on the platform

Python:
from behave import given, when, then

@given('I am on the MCP Development Use Only area')
def step_given_on_mcp_development_area(context):
    pass

@given('the ""Resources - Preset Auto-Focal"" setting is available')
def step_given_setting_is_available(context):
    pass

@when('I enable the ""Resources - Preset Auto-Focal"" toggle')
def step_when_enable_toggle(context):
    pass

@then('Auto-focal tickets should become enabled on the platform')
def step_then_auto_focal_enabled(context):
    pass"
3,"As an IB team member, I want to be able to enable a GIF/Lottie setting in MCP so that I can control all the settings from one place","Gherkin:
Feature: Enable GIF/Lottie Preview Support in MCP

  Scenario: Enable GIF/Lottie Preview Support setting
    Given I am on the MCP Development Use Only settings page
    And the ""Resources - GIF/Lottie Preview Support"" toggle is available
    When I enable the ""Resources - GIF/Lottie Preview Support"" toggle
    Then GIF/Lottie Preview features should be enabled on the platform

Python:
from behave import given, when, then

@given('I am on the MCP Development Use Only settings page')
def step_given_on_mcp_settings_page(context):
    context.mcp_page.open_development_use_only_settings()

@given('the ""Resources - GIF/Lottie Preview Support"" toggle is available')
def step_given_toggle_is_available(context):
    assert context.mcp_page.is_toggle_available(""Resources - GIF/Lottie Preview Support"")

@when('I enable the ""Resources - GIF/Lottie Preview Support"" toggle')
def step_when_enable_toggle(context):
    context.mcp_page.enable_toggle(""Resources - GIF/Lottie Preview Support"")

@then('GIF/Lottie Preview features should be enabled on the platform')
def step_then_features_enabled(context):
    assert context.mcp_page.are_gif_lottie_features_enabled()"
4,"As a user, I want to be able to upload a GIF and have it automatically converted into a MP4 file so that I can view it in the previewer.","Gherkin:
Feature: GIF to MP4 Conversion

  Scenario: User uploads a GIF and it is converted to MP4
    Given a user has a GIF file ready for upload
    When the user uploads the GIF to the platform
    Then the GIF is converted to an MP4 with the highest quality
    And the MP4 is stored alongside the original GIF

Python:
from behave import given, when, then

@given('a user has a GIF file ready for upload')
def step_given_user_has_gif_file(context):
    context.gif_file = ""path/to/gif/file.gif""

@when('the user uploads the GIF to the platform')
def step_when_user_uploads_gif(context):
    context.uploaded_mp4 = convert_gif_to_mp4(context.gif_file)

@then('the GIF is converted to an MP4 with the highest quality')
def step_then_gif_converted_to_mp4(context):
    assert context.uploaded_mp4 is not None
    assert check_mp4_quality(context.uploaded_mp4)

@then('the MP4 is stored alongside the original GIF')
def step_then_mp4_stored(context):
    assert check_mp4_storage(context.gif_file, context.uploaded_mp4)"
5,"As a user, I want to be able to upload a Lottie File and have it automatically converted into a MP4 file so that I can view it in the previewer.","Gherkin:
Feature: Lottie File Conversion to MP4

  Scenario: User uploads a Lottie File and it is converted to MP4
    Given a user has a valid Lottie File
    When the user uploads the Lottie File to the platform
    Then the Lottie File should be converted to an MP4 with the highest quality
    And the MP4 should be stored alongside the original Lottie File

Python:
from behave import given, when, then

@given('a user has a valid Lottie File')
def step_given_user_has_valid_lottie_file(context):
    context.lottie_file = ""path/to/valid/lottie/file.json""

@when('the user uploads the Lottie File to the platform')
def step_when_user_uploads_lottie_file(context):
    context.upload_response = upload_lottie_file(context.lottie_file)

@then('the Lottie File should be converted to an MP4 with the highest quality')
def step_then_lottie_file_converted_to_mp4(context):
    assert context.upload_response['mp4_quality'] == 'highest'

@then('the MP4 should be stored alongside the original Lottie File')
def step_then_mp4_stored_alongside_lottie(context):
    assert context.upload_response['mp4_stored'] == True"
6,"As a user, I want to be select a Preset that has auto-focal enabled, on multiple images from the Bulk Download Screen, so that the cropping can occur on the focal point of the image.","Gherkin:
Feature: Bulk Download with Auto-focal Preset

  Scenario: User downloads images with Auto-focal enabled Preset
    Given the user is on the Bulk Download screen
    And the user has selected a Global Preset with Auto-focal enabled
    When the user initiates the download
    Then the system should detect the focal point of each image
    And the crop area should be centered on the focal point
    And the processed images should download in a Zip file

Python:
from behave import given, when, then

@given('the user is on the Bulk Download screen')
def step_given_user_on_bulk_download_screen(context):
    pass

@given('the user has selected a Global Preset with Auto-focal enabled')
def step_given_user_selected_auto_focal_preset(context):
    pass

@when('the user initiates the download')
def step_when_user_initiates_download(context):
    pass

@then('the system should detect the focal point of each image')
def step_then_system_detects_focal_point(context):
    pass

@then('the crop area should be centered on the focal point')
def step_then_crop_centered_on_focal_point(context):
    pass

@then('the processed images should download in a Zip file')
def step_then_images_download_in_zip(context):
    pass"
7,"As a user, I want to be able to preview the GIF or Lottie File converted MP4 on the Info Preview screen so that I can preview what the animation is like before I download it","Gherkin:
Feature: Preview converted MP4 on Info Preview screen

  Scenario: User previews a converted MP4 from a GIF or Lottie file
    Given the user is on the Info Preview screen with a GIF or Lottie file
    When the file is converted to an MP4
    Then the MP4 should auto-play on a loop with hidden controls
    And the Previewer should display the converted MP4
    And the download should download the original GIF or Lottie file
    And the file type metadata should show GIF/Lottie
    And the version file type should be GIF/Lottie

Python:
from behave import given, when, then

@given('the user is on the Info Preview screen with a GIF or Lottie file')
def step_given_user_on_info_preview_screen(context):
    pass

@when('the file is converted to an MP4')
def step_when_file_converted_to_mp4(context):
    pass

@then('the MP4 should auto-play on a loop with hidden controls')
def step_then_mp4_autoplay_loop_hidden_controls(context):
    pass

@then('the Previewer should display the converted MP4')
def step_then_previewer_displays_converted_mp4(context):
    pass

@then('the download should download the original GIF or Lottie file')
def step_then_download_original_file(context):
    pass

@then('the file type metadata should show GIF/Lottie')
def step_then_file_type_metadata_shows_gif_lottie(context):
    pass

@then('the version file type should be GIF/Lottie')
def step_then_version_file_type_gif_lottie(context):
    pass"
8,"As a user, I want GIF/Lottie file to have the first frame as the Thumbnail Preview (PNG)","Gherkin:
Feature: Thumbnail Preview for GIF/Lottie Files

  Scenario: Generate PNG thumbnail from the first frame of GIF/Lottie file
    Given a GIF or Lottie file is uploaded
    When the file is processed for thumbnail generation
    Then the first frame is saved as a PNG thumbnail
    And the PNG thumbnail appears in Resource List View
    And the PNG thumbnail appears in Resource Mosaic View
    And the PNG thumbnail appears in Versions
    And the PNG thumbnail appears in Alias
    And the PNG thumbnail appears in Similar
    And the PNG thumbnail appears in Dashboard List
    And the PNG thumbnail appears in Approvals List
    And the PNG thumbnail appears in Collections

Python:
from behave import given, when, then

@given('a GIF or Lottie file is uploaded')
def step_given_file_uploaded(context):
    pass

@when('the file is processed for thumbnail generation')
def step_when_file_processed(context):
    pass

@then('the first frame is saved as a PNG thumbnail')
def step_then_first_frame_saved(context):
    pass

@then('the PNG thumbnail appears in Resource List View')
def step_then_thumbnail_in_resource_list_view(context):
    pass

@then('the PNG thumbnail appears in Resource Mosaic View')
def step_then_thumbnail_in_resource_mosaic_view(context):
    pass

@then('the PNG thumbnail appears in Versions')
def step_then_thumbnail_in_versions(context):
    pass

@then('the PNG thumbnail appears in Alias')
def step_then_thumbnail_in_alias(context):
    pass

@then('the PNG thumbnail appears in Similar')
def step_then_thumbnail_in_similar(context):
    pass

@then('the PNG thumbnail appears in Dashboard List')
def step_then_thumbnail_in_dashboard_list(context):
    pass

@then('the PNG thumbnail appears in Approvals List')
def step_then_thumbnail_in_approvals_list(context):
    pass

@then('the PNG thumbnail appears in Collections')
def step_then_thumbnail_in_collections(context):
    pass"
9,"As a user, I want to be able to preview the GIF or Lottie File converted MP4 on the Share screen so that I can preview what the animation is like before share it","Gherkin:
Feature: Preview animation on Share screen

  Scenario: User previews the converted MP4 animation on the Share screen
    Given the user is on the Share screen with a GIF or Lottie File
    When the user views the Share screen
    Then the user should see the converted MP4 preview
    And the MP4 should autoplay
    And the controls should be hidden

Python:
from behave import given, when, then

@given('the user is on the Share screen with a GIF or Lottie File')
def step_given_user_on_share_screen(context):
    # Code to navigate to the Share screen with a GIF or Lottie File
    pass

@when('the user views the Share screen')
def step_when_user_views_share_screen(context):
    # Code to simulate user viewing the Share screen
    pass

@then('the user should see the converted MP4 preview')
def step_then_user_sees_mp4_preview(context):
    # Code to verify the MP4 preview is visible
    pass

@then('the MP4 should autoplay')
def step_then_mp4_autoplays(context):
    # Code to verify the MP4 is autoplaying
    pass

@then('the controls should be hidden')
def step_then_controls_hidden(context):
    # Code to verify the controls are hidden
    pass"
10,"As a user, I want to be able to preview the GIF or Lottie File converted MP4 on the Edit screen so that I can preview what the animation like before I Edit or upload a new version","Gherkin:
Feature: Preview GIF or Lottie File converted MP4 on Edit screen

  Scenario: User previews the converted MP4 on the Edit screen
    Given the user is on the Edit/New Version screen
    When the user uploads a GIF or Lottie File
    Then the user should see the converted MP4 preview
    And the MP4 should autoplay
    And the controls should be hidden

Python:
from behave import given, when, then

@given('the user is on the Edit/New Version screen')
def step_given_user_on_edit_screen(context):
    # Code to navigate to the Edit/New Version screen
    pass

@when('the user uploads a GIF or Lottie File')
def step_when_user_uploads_file(context):
    # Code to upload a GIF or Lottie File
    pass

@then('the user should see the converted MP4 preview')
def step_then_user_sees_mp4_preview(context):
    # Code to verify the MP4 preview is visible
    pass

@then('the MP4 should autoplay')
def step_then_mp4_autoplays(context):
    # Code to verify the MP4 is autoplaying
    pass

@then('the controls should be hidden')
def step_then_controls_hidden(context):
    # Code to verify the controls are hidden
    pass"
