ID,Manual Scenario
362,"Scenario: Renaming 'Simple Page' to 'Smart Page' in the V2 Index List's 'Add a Page'
Given a user is on the V2 Index List
When the user selects the 'Add a Page' option
Then they should see an option labeled 'Smart Page' instead of 'Simple Page'"
74,"Scenario: New Setting for Kanban Sort Options Appears in Development Use Only Section
Given a user is viewing the settings page
When they navigate to the Development Use Only section
Then a new setting ""Databases - Kanban Sort Options"" should be displayed
And it should be located at the bottom of the section under ""Databases - Single User Record Edit Restriction""
"
375,"Scenario: Adding a New Setting Under ""Development Use Only"" in MCP
Given an administrator is logged into the Management Control Panel (MCP)
And the administrator navigates to the ""Settings"" section
When the administrator scrolls to the ""Development Use Only"" section
Then they should see a setting labeled ""Approvals - Approvals List (V3) - Grouped Approvals - Record File & Resource Publish (development use only)""
And this setting should be configurable as per the system's standard configuration options"
156,"Scenario: Select ‘Session’ Option in Digest Frequency Drop-Down for Markup Alerts
Given the user navigates to My Account > Alerts (Markup)
When the user opens the Digest Frequency drop-down menu
Then the ‘Session’ option should be available for selection
And the user should be able to choose ‘Session’ for the following alert types:
Updates to Comment Status
Edited Comments





"
105,"Scenario: User does not see the Page Category dropdown if no pages have a category  
    Given the user is viewing Pages in the Left Panel  
    And none of the pages the user has access to are assigned to a Page Category  
    When the user navigates to the Pages view  
    Then the Page Category dropdown should not be displayed  
    And only the list of Pages should be visible in the Left Panel  "
395,"Scenario: Configure and Propagate Permissions for Sub-Pages Under Parent Pages
Given an administrator is in the Admin - Group - Permission section
When the administrator views the list of pages
Then sub-pages should be displayed nested under their respective parent pages, consistent with the design of resource folders and sub-folders
When the administrator sets permissions on a parent page
And chooses to propagate these permissions
Then the system should apply the same permissions to all sub-pages under that parent page, following the same logic used for resource folders and sub-folders
And the administrator should receive a confirmation that permissions have been successfully propagated to all sub-pages"
378,"Scenario: Display Resource Status for Widgets Added via Resource Lookup in Page Builder
Given a user is in the Page Builder's editing mode
When the user adds an Image Resource as an Image Widget via the Resource Lookup
Then the status of the Image Resource should be displayed within the Image Widget
And when the user adds a Video Resource as a Video Widget via the Resource Lookup
Then the status of the Video Resource should be displayed within the Video Widget"
125,"Scenario: Display New Setting for Resource Feedback Workflow Templates When MCP is Enabled
Given the MCP setting is enabled
When a user views the settings for Resource Feedback Workflow Templates
Then a new setting should be displayed
And the new setting should be available for both existing and new templates"
69,"Scenario: Users can close Job Previews and switch back to the Template
Given a user has selected a Job and is viewing its Preview
When the user re-clicks the selected Job
Then the Preview should switch back to the Template

When the user chooses the new close option for the Job Preview
Then the Job Preview should close
And the Template view should be restored"
451,"Scenario: Navigating to the Bulk Review Request Page
Given I am a user with appropriate permissions
When I click on the 'Bulk Review Request' action
Then the Bulk Review Request page should open"
10,"Scenario: Verify the GIF and Lottie file preview on the Review Request screen screen
  Given I am an admin 
  When I upload Lottie and GIF file
  And navigate to the workflow page
  And I click on Review Request 
  Then The file should have been converted to MP4
  And The controls should be hidden
  And The MP4 should autoplay"
195,"Scenario: Internal user can configure MCP settings for Smart Page features  
    Given the internal user has access to the MCP settings under ""Development Use only"" for the Epic  
    When the user views the MCP settings page  
    Then the following settings should be available:  
      | Setting Name                            | Description                                        |
      | ""Smart Page: Widgets combining Block""    | Enables or disables the combining of widgets with blocks on smart pages |  
      | ""Smart Page: Image Resizing""             | Enables or disables image resizing functionality on smart pages |  
      | ""Smart Pages - Page Templates""           | Enables or disables the use of page templates in smart pages |  
      | ""Smart Page: Page Grouping""              | Enables or disables page grouping functionality on smart pages |  

    When the user toggles any of these settings,  
    Then the corresponding feature for Smart Pages should be enabled or disabled as per the setting's state  
    And the changes should only apply in the development environment for testing and validation purposes  
"
407,"Scenario: Displaying Grouped Record File Requests in the Grouped Tab of the V3 Approval List
Given a user has submitted one or more Grouped Record File requests
When the user navigates to the V3 Approval List
Then the ""Grouped"" tab should be visible
And the user's Grouped Record File requests should be listed under the ""Grouped"" tab
And if the user has not previously seen the ""Grouped"" tab, it should now be displayed due to the presence of their Grouped Record File requests"
85,"Scenario: Returning to Previous Location After Cancelling Edit Template
Given a user is on the Edit Template page
When they click Close or Cancel
Then they are returned to the location where they originally selected the Edit action from"
372,"Scenario: Reordering Pages via Drag-and-Drop in Navigation Panel during Editing
Given the user is in editing mode within the Page Builder
And the Navigation Panel displays a list of pages, some of which contain sub-pages
When the user drags a page to a new position within the Navigation Panel
Then the system moves the selected page to the new position
And if the moved page contains sub-pages, all associated sub-pages move along with it
And after the drag-and-drop action, any sub-pages under the moved page are collapsed in the Navigation Panel"
389,"Scenario: Set Page Limits for Client Sites in the MCP Control Panel
Given an administrator is logged into the MCP (Management Control Panel)
When the administrator navigates to the settings section for a specific client site
And the administrator sets a page limit for that client site
Then the system should enforce the specified page limit for the client site
And attempts to create additional pages beyond this limit should be restricted
And an appropriate notification should be displayed to inform users of the page limit restriction"
496,"Scenario: Switching Between Threads on Add Revision Page Without Managing or Creating New Threads
Given the user is on the Add Revision page
When they attempt to switch between different Threads
Then they should be able to select and view different Threads
And when a Thread is selected
Then all comments within that Thread should be displayed
But the user should not have the ability to manage existing Threads
And the user should not be able to create a new Thread on the Add Revision page"
31,"Scenario: Retaining single view response details on close
 Given I have opened a single response page within a Grouped Approval Review
 And I have entered response information on the single response page
 When I close the single response page and return to the Grouped Approval Review list view
 Then the response details I entered on the single response page should be retained
 And if I reopen the same single response page, the previously entered details should still be present"
317,"Scenario: Configuring Auto-Play for Video Widget
Given the user has added a Video Widget
When they open the Video Widget settings
Then an Auto-Play button should be available
And Given the Video Widget is newly added
When the user has not changed the auto-play setting
Then the auto-play button should be unchecked by default
And the video should not auto-play when viewed
And Given the user enables the auto-play button
When they view the Video Widget
Then the video should start playing automatically"
409,"Scenario: Displaying Grouped Resource Publish Requests in the Grouped Tab of the V3 Approval List
Given a user has submitted their first Grouped Resource Publish request
When the user navigates to the V3 Approval List
Then the ""Grouped"" tab becomes visible to the user
And the user's Grouped Resource Publish request is listed under the ""Grouped"" tab"
491,"Scenario: Allow Reviewers to Update Response for Pending Requests in Single View from Grouped Review Page
Given a Reviewer has responded to a request
And the request remains in Pending status because it requires additional approvals or responses from other reviewers
When the Reviewer navigates to the single view from the Grouped Review page
Then they should be able to update their response to that request
And the Update Response button should be displayed in the ‘My Response’ section, just as it does in the current single request view"
492,"Scenario: Validate Mandatory Comment and Response Before Submitting a Single Request
Given the user is submitting a single request response
When they click Submit
Then the system should check if a comment is mandatory
And if the comment field is empty, display a validation message
And the system should check if a response has been provided
And if the response is unfilled, display a validation message preventing submission"
281,"Scenario: Link Background Image Status with Derived Image Resources in Resource Module
Given a background image has been added as a Page or Section background in Page Builder via Resource Lookup
When the background image exists in the Resource Module
Then the status of the background image should be linked with the derived image resources in the Resource Module
And any changes in the background image status (e.g., active, archived, or deleted) should be reflected in the linked image resources"
357,"Scenario: Restore intended permission logic for V3 Related functionality with development MCP setting
Given the development MCP setting for V3 Related functionality is enabled
And a user with specific permissions is logged into the system
When the user attempts to perform an action related to the V3 Related functionality
Then the system applies the updated permission logic as per the originally intended design
And the user's action is allowed or denied based on these permissions
And the system logs this permission check for auditing purposes"
77,"Scenario: Restricting and Allowing Specific Resource Actions for img.ly Templates and Master Templates
Given a resource is created as an img.ly Template or a Master Template
When a user views the available Resource Actions
Then the following actions do not display:

Download
Block from Single and Bulk Download
Alias
Block from Single and Bulk Create Alias
And the following actions are still supported for A/C:

Edit
Email Internal Share Link
Move
Check in / Out
Usage
Related
Feedback (when enabled)"
462,"Scenario: Display Mandatory '2FA Type: SMS' Checkbox Based on Conditions
Given the user is in Admin > Settings > Login and Security
And there are existing Two-Factor Authentication (2FA) settings (up to 2 based on conditions)
When the User Setting or Global option is enabled
Then a new mandatory checkbox field labeled ""2FA Type: SMS"" should appear below the existing 2FA settings
And it should only be visible when one of these options is enabled"
