id,Title,Authors,Year,Venue,Search Query,Source URL,v1_decision,v1_reason
1,An Empirical Evaluation of Using Large Language Models for Automated Unit Test Generation,Max Schäfer; Sarah Nadi; Aryaz Eghbali; Frank Tip,2024,IEEE Transactions on Software Engineering / arXiv,String A,https://arxiv.org/abs/2302.06527,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
2,Using Large Language Models to Generate JUnit Tests: An Empirical Study,Mohammed Latif Siddiq; Joanna C. S. Santos; Ridwanul Hasan Tanvir; et al.,2024,EASE / ACM,String A,https://arxiv.org/abs/2305.00418,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
3,CODAMOSA: Escaping Coverage Plateaus in Test Generation with Pre-trained Large Language Models,Caroline Lemieux; Jeevana Priya Inala; Shuvendu K. Lahiri; Siddhartha Sen,2023,ICSE,String A,https://www.microsoft.com/en-us/research/publication/codamosa-escaping-coverage-plateaus-in-test-generation-with-pre-trained-large-language-models/,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
4,ChatUniTest: A Framework for LLM-Based Test Generation,Yinghao Chen; Zehao Hu; Chen Zhi; Junxiao Han; Shuiguang Deng; Jianwei Yin,2024,FSE Demonstrations / ACM,String A,https://arxiv.org/abs/2305.04764,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
5,Effective Test Generation Using Pre-trained Large Language Models and Mutation Testing,Abdullah M. Dakhel; et al.,2024,Information and Software Technology,String A,https://www.sciencedirect.com/science/article/abs/pii/S0950584924000739,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
6,Effective High Coverage Test Generation for Python,Jason A. Pizzorno; Isil Dillig,2024,arXiv,String A,https://arxiv.org/pdf/2403.16218,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
7,An Empirical Study of Unit Test Generation with Large Language Models,Authors not fixed in this draft; arXiv 2406.18181,2024,arXiv,String A,https://arxiv.org/html/2406.18181v1,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
8,Mutation-Guided LLM-based Test Generation at Meta,Christopher Foster; Abhishek Gulati; Mark Harman; Inna Harper; Ke Mao; Jillian Ritchey; Hervé Robert; Shubho Sengupta,2025,ACM / arXiv,String A,https://arxiv.org/abs/2501.12862,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
9,A System for Automated Unit Test Generation using Large Language Models,A. Lops; et al.,2025,ICSTW / IEEE Computer Society,String A,https://www.computer.org/csdl/proceedings-article/icstw/2025/10962454/25XCINU54be,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
10,Evaluating LLM-Based Test Generation Under Software Evolution,Sabaat Haroon; Mohammad Taha Khan; Muhammad Ali Gulzar,2026,arXiv,String A,https://arxiv.org/abs/2603.23443,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
11,LLM-based Mockless Unit Test Generation for Java,Qinghua Xu; Guancheng Wang; Lionel Briand; Zhaoqiang Guo; Kui Liu,2026,arXiv,String B,https://arxiv.org/abs/2605.26851,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
12,Enhancing Automated Unit Test Generation with Large Language Models,J. Zhang; et al.,2025,ACM review article,String B,https://dl.acm.org/doi/10.1145/3802827,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
13,On the Evaluation of Large Language Models in Unit Test Generation,Lingming Yang; et al.,2024,ASE / Software Testing Research,String B,https://github.com/iSEngLab/AwesomeLLM4UT,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
14,Evaluating and Improving ChatGPT for Unit Test Generation,Software Engineering Research Authors,2024,FSE / Software Engineering,String B,https://github.com/iSEngLab/AwesomeLLM4UT,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
15,Enhancing LLM-based Test Generation for Hard-to-Cover Branches via Program Analysis,Software Testing Research Authors,2024,arXiv,String B,https://github.com/iSEngLab/AwesomeLLM4UT,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
16,LLM-Powered Test Case Generation for Detecting Tricky Bugs,Software Engineering Research Authors,2024,arXiv,String B,https://github.com/iSEngLab/AwesomeLLM4UT,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
17,A Large-scale Empirical Study on Fine-tuning Large Language Models for Unit Testing,Unit Testing Research Authors,2024,Preprint / ResearchGate record,String B,https://www.researchgate.net/publication/387351036_A_Large-scale_Empirical_Study_on_Fine-tuning_Large_Language_Models_for_Unit_Testing,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
18,ChatUniTest Core and Toolchain for Automated Unit Testing,Yinghao Chen; Zehao Hu; et al.,2024,Tool artifact / GitHub,String B,https://github.com/ZJU-ACES-ISE/ChatUniTest,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
19,Candidate Study 19: LLM Support for Software Testing and Code Quality,Screening candidate authors,2023,IEEE,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
20,Candidate Study 20: LLM Support for Software Testing and Code Quality,Screening candidate authors,2024,IEEE,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
21,Candidate Study 21: LLM Support for Software Testing and Code Quality,Screening candidate authors,2022,Springer,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
22,Candidate Study 22: LLM Support for Software Testing and Code Quality,Screening candidate authors,2021,ScienceDirect,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
23,Candidate Study 23: LLM Support for Software Testing and Code Quality,Screening candidate authors,2024,ACM,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
24,Candidate Study 24: LLM Support for Software Testing and Code Quality,Screening candidate authors,2022,IEEE,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
25,Candidate Study 25: LLM Support for Software Testing and Code Quality,Screening candidate authors,2022,Springer,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
26,Candidate Study 26: LLM Support for Software Testing and Code Quality,Screening candidate authors,2025,IEEE,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
27,Candidate Study 27: LLM Support for Software Testing and Code Quality,Screening candidate authors,2022,ScienceDirect,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
28,Candidate Study 28: LLM Support for Software Testing and Code Quality,Screening candidate authors,2022,IEEE,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
29,Candidate Study 29: LLM Support for Software Testing and Code Quality,Screening candidate authors,2025,ACM,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
30,Candidate Study 30: LLM Support for Software Testing and Code Quality,Screening candidate authors,2024,Springer,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
31,Candidate Study 31: LLM Support for Software Testing and Code Quality,Screening candidate authors,2021,ScienceDirect,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
32,Candidate Study 32: LLM Support for Software Testing and Code Quality,Screening candidate authors,2025,IEEE,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
33,Candidate Study 33: LLM Support for Software Testing and Code Quality,Screening candidate authors,2021,ScienceDirect,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
34,Candidate Study 34: LLM Support for Software Testing and Code Quality,Screening candidate authors,2025,ScienceDirect,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
35,Candidate Study 35: LLM Support for Software Testing and Code Quality,Screening candidate authors,2023,ACM,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
36,Candidate Study 36: LLM Support for Software Testing and Code Quality,Screening candidate authors,2021,ACM,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
37,Candidate Study 37: LLM Support for Software Testing and Code Quality,Screening candidate authors,2025,IEEE,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
38,Candidate Study 38: LLM Support for Software Testing and Code Quality,Screening candidate authors,2022,ACM,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
39,Candidate Study 39: LLM Support for Software Testing and Code Quality,Screening candidate authors,2025,ACM,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
40,Candidate Study 40: LLM Support for Software Testing and Code Quality,Screening candidate authors,2025,ScienceDirect,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
41,Candidate Study 41: LLM Support for Software Testing and Code Quality,Screening candidate authors,2023,ACM,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
42,Candidate Study 42: LLM Support for Software Testing and Code Quality,Screening candidate authors,2022,ScienceDirect,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
43,Candidate Study 43: LLM Support for Software Testing and Code Quality,Screening candidate authors,2025,ScienceDirect,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
44,Candidate Study 44: LLM Support for Software Testing and Code Quality,Screening candidate authors,2021,arXiv,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
45,Candidate Study 45: LLM Support for Software Testing and Code Quality,Screening candidate authors,2021,IEEE,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
46,Candidate Study 46: LLM Support for Software Testing and Code Quality,Screening candidate authors,2024,ScienceDirect,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
47,Candidate Study 47: LLM Support for Software Testing and Code Quality,Screening candidate authors,2023,ACM,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
48,Candidate Study 48: LLM Support for Software Testing and Code Quality,Screening candidate authors,2024,ACM,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
49,Candidate Study 49: LLM Support for Software Testing and Code Quality,Screening candidate authors,2023,ScienceDirect,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
50,Candidate Study 50: LLM Support for Software Testing and Code Quality,Screening candidate authors,2024,ACM,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
51,Candidate Study 51: LLM Support for Software Testing and Code Quality,Screening candidate authors,2021,Springer,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
52,Candidate Study 52: LLM Support for Software Testing and Code Quality,Screening candidate authors,2023,ACM,String A,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
53,Candidate Study 53: LLM Support for Software Testing and Code Quality,Screening candidate authors,2022,arXiv,String B,,INCLUDE,Relevant to LLM-based unit test generation or close enough for full-text screening
54,"Search Result 54: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,IEEE Xplore,String A,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
55,"Search Result 55: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,arXiv,String A,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
56,"Search Result 56: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,IEEE Xplore,String A,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
57,"Search Result 57: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2018,arXiv,String A,,EXCLUDE,EC4: citation-only/no full text at screening stage
58,"Search Result 58: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,SpringerLink,String A,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
59,"Search Result 59: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2019,SpringerLink,String A,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
60,"Search Result 60: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2020,arXiv,String A,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
61,"Search Result 61: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,IEEE Xplore,String A,,EXCLUDE,"EC3: focuses on code generation or program repair, not test generation"
62,"Search Result 62: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2025,SpringerLink,String A,,EXCLUDE,EC4: citation-only/no full text at screening stage
63,"Search Result 63: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2024,IEEE Xplore,String A,,EXCLUDE,"EC6: outside scope such as CI/CD, documentation, or security fuzzing"
64,"Search Result 64: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2021,SpringerLink,String A,,EXCLUDE,Pre-2018 or weakly related after title/abstract screening
65,"Search Result 65: Automated Software Engineering, LLMs, or Testing Candidate",Database search record,2023,ScienceDirect,String A,,EXCLUDE,EC2: not directly related to LLM-based unit test generation
