ID,Manual Scenario
362,"Scenario: Renaming 'Simple Page' to 'Smart Page' in the V2 Index List's 'Add a Page'
Given a user is on the V2 Index List
When the user selects the 'Add a Page' option
Then they should see an option labeled 'Smart Page' instead of 'Simple Page'"
74,"Scenario: New Setting for Kanban Sort Options Appears in Development Use Only Section
Given a user is viewing the settings page
When they navigate to the Development Use Only section
Then a new setting ""Databases - Kanban Sort Options"" should be displayed
And it should be located at the bottom of the section under ""Databases - Single User Record Edit Restriction""
"
375,"Scenario: Adding a New Setting Under ""Development Use Only"" in MCP
Given an administrator is logged into the Management Control Panel (MCP)
And the administrator navigates to the ""Settings"" section
When the administrator scrolls to the ""Development Use Only"" section
Then they should see a setting labeled ""Approvals - Approvals List (V3) - Grouped Approvals - Record File & Resource Publish (development use only)""
And this setting should be configurable as per the system's standard configuration options"
156,"Scenario: Select ‘Session’ Option in Digest Frequency Drop-Down for Markup Alerts
Given the user navigates to My Account > Alerts (Markup)
When the user opens the Digest Frequency drop-down menu
Then the ‘Session’ option should be available for selection
And the user should be able to choose ‘Session’ for the following alert types:
Updates to Comment Status
Edited Comments





"
105,"Scenario: User does not see the Page Category dropdown if no pages have a category  
    Given the user is viewing Pages in the Left Panel  
    And none of the pages the user has access to are assigned to a Page Category  
    When the user navigates to the Pages view  
    Then the Page Category dropdown should not be displayed  
    And only the list of Pages should be visible in the Left Panel  "
395,"Scenario: Configure and Propagate Permissions for Sub-Pages Under Parent Pages
Given an administrator is in the Admin - Group - Permission section
When the administrator views the list of pages
Then sub-pages should be displayed nested under their respective parent pages, consistent with the design of resource folders and sub-folders
When the administrator sets permissions on a parent page
And chooses to propagate these permissions
Then the system should apply the same permissions to all sub-pages under that parent page, following the same logic used for resource folders and sub-folders
And the administrator should receive a confirmation that permissions have been successfully propagated to all sub-pages"
378,"Scenario: Display Resource Status for Widgets Added via Resource Lookup in Page Builder
Given a user is in the Page Builder's editing mode
When the user adds an Image Resource as an Image Widget via the Resource Lookup
Then the status of the Image Resource should be displayed within the Image Widget
And when the user adds a Video Resource as a Video Widget via the Resource Lookup
Then the status of the Video Resource should be displayed within the Video Widget"
125,"Scenario: Display New Setting for Resource Feedback Workflow Templates When MCP is Enabled
Given the MCP setting is enabled
When a user views the settings for Resource Feedback Workflow Templates
Then a new setting should be displayed
And the new setting should be available for both existing and new templates"
69,"Scenario: Users can close Job Previews and switch back to the Template
Given a user has selected a Job and is viewing its Preview
When the user re-clicks the selected Job
Then the Preview should switch back to the Template

When the user chooses the new close option for the Job Preview
Then the Job Preview should close
And the Template view should be restored"
451,"Scenario: Navigating to the Bulk Review Request Page
Given I am a user with appropriate permissions
When I click on the 'Bulk Review Request' action
Then the Bulk Review Request page should open"
