ID,User Story,Output
362,"Rename ""Simple"" Page to ""Smart"" Page","Gherkin:

Feature: Rename Simple Page to Smart Page

Scenario: Update page name in V2 Index List

Given the user is on the V2 Index List page
And the user sees the option to add a page
When the user selects to add a page
And the page name is displayed as ""Simple Page""
Then the page name should be updated to ""Smart Page""

Python:

from behave import given, when, then

@given('the user is on the V2 Index List page')
def step_given_user_on_v2_index_list_page(context):
    pass

@given('the user sees the option to add a page')
def step_given_user_sees_option_to_add_page(context):
    pass

@when('the user selects to add a page')
def step_when_user_selects_to_add_page(context):
    pass

@when('the page name is displayed as ""Simple Page""')
def step_when_page_name_displayed_as_simple(context):
    pass

@then('the page name should be updated to ""Smart Page""')
def step_then_page_name_updated_to_smart(context):
    pass"
74,"As a User, I want MCP Setting for Kanban Sort Options Updates","Gherkin:

Feature: MCP Setting for Kanban Sort Options

Scenario: Update Kanban Sort Options Location Wise

Given the user is on the Development Use Only settings page
And the Databases - Single User Record Edit Restriction setting is visible
When the user adds a new setting for Kanban Sort Options
And specifies the location-wise option
Then the new Kanban Sort Options setting should be saved successfully

Python:

from behave import given, when, then

@given('the user is on the Development Use Only settings page')
def step_impl(context):
    pass

@given('the Databases - Single User Record Edit Restriction setting is visible')
def step_impl(context):
    pass

@when('the user adds a new setting for Kanban Sort Options')
def step_impl(context):
    pass

@when('specifies the location-wise option')
def step_impl(context):
    pass

@then('the new Kanban Sort Options setting should be saved successfully')
def step_impl(context):
    pass"
375,MCP setting for new Grouped Approval types,"Gherkin:

Feature: MCP Setting for Grouped Approval Types

Scenario: Enable Grouped Approvals for Record File & Resource Publish

Given the user is on the MCP settings page
And the user navigates to the ""Development Use Only"" section
When the user locates the ""Approvals - Approvals List (V3) - Grouped Approvals - Record File & Resource Publish"" setting
And the user enables the setting
Then the setting should be saved successfully

Python:

from behave import given, when, then

@given('the user is on the MCP settings page')
def step_impl(context):
    pass

@given('the user navigates to the ""Development Use Only"" section')
def step_impl(context):
    pass

@when('the user locates the ""Approvals - Approvals List (V3) - Grouped Approvals - Record File & Resource Publish"" setting')
def step_impl(context):
    pass

@when('the user enables the setting')
def step_impl(context):
    pass

@then('the setting should be saved successfully')
def step_impl(context):
    pass"
156,"As a User, I want to set up Session Based Digest Email in My Account Alerts (Markup) for Comment Status Updates, Edited Comments, Deleted Comments, and New Revisions","Gherkin:

Feature: Session Based Digest Email Setup for Comment Alerts

Scenario: User sets up session-based digest for comment status updates and edited comments

Given the user is logged into their account
And the user navigates to My Account > Alerts (Markup)
When the user selects 'Session' from the Digest Frequency drop-down menu
And the user enables alerts for Comment status updates
And the user enables alerts for Edited Comments
Then the session-based digest email is configured successfully

Python:

from behave import given, when, then

@given('the user is logged into their account')
def step_impl(context):
    pass

@given('the user navigates to My Account > Alerts (Markup)')
def step_impl(context):
    pass

@when('the user selects ""Session"" from the Digest Frequency drop-down menu')
def step_impl(context):
    pass

@when('the user enables alerts for Comment status updates')
def step_impl(context):
    pass

@when('the user enables alerts for Edited Comments')
def step_impl(context):
    pass

@then('the session-based digest email is configured successfully')
def step_impl(context):
    pass"
105,"As a User, I should not see the Page Category dropdown when viewing Pages if none of them are assigned to Category","Gherkin:

Feature: Page Category Visibility

Scenario: Hide Page Category dropdown when no pages are assigned to a category

Given the user has access to view pages
And none of the pages are assigned to any category
When the user views a page
Then the Page Category dropdown should not be visible

Python:

from behave import given, when, then

@given('the user has access to view pages')
def step_given_user_has_access_to_view_pages(context):
    # Code to ensure user has access to view pages
    pass

@given('none of the pages are assigned to any category')
def step_given_no_pages_assigned_to_category(context):
    # Code to ensure no pages are assigned to any category
    pass

@when('the user views a page')
def step_when_user_views_a_page(context):
    # Code to simulate user viewing a page
    pass

@then('the Page Category dropdown should not be visible')
def step_then_page_category_dropdown_not_visible(context):
    # Code to check that the Page Category dropdown is not visible
    pass"
395,"PB - As a User, I want to configure permissions of sub-pages in Admin -> Group","Feature: Configure Permissions for Sub-Pages in Admin Group

Scenario: User configures and propagates permissions for sub-pages

Given the user is on the Admin Group Permission page
And the user can see the parent page with its sub-pages
When the user selects a sub-page to configure permissions
And the user sets the desired permissions for the sub-page
And the user triggers permission propagation
Then the permissions should be updated for the sub-page
And the changes should propagate according to the resource folder logic

Python:

from behave import given, when, then

@given('the user is on the Admin Group Permission page')
def step_impl(context):
    pass

@given('the user can see the parent page with its sub-pages')
def step_impl(context):
    pass

@when('the user selects a sub-page to configure permissions')
def step_impl(context):
    pass

@when('the user sets the desired permissions for the sub-page')
def step_impl(context):
    pass

@when('the user triggers permission propagation')
def step_impl(context):
    pass

@then('the permissions should be updated for the sub-page')
def step_impl(context):
    pass

@then('the changes should propagate according to the resource folder logic')
def step_impl(context):
    pass"
378,"PB - As a User, I want the status of  Resource added via Resource Lookup to be linked with Resource module - unsupported resource type scenario","Gherkin:

Feature: Resource Status Linking

Scenario: Unsupported Resource Type Handling

Given a Resource is added via Resource Lookup
And the Resource type is unsupported
When the Resource is linked to the Resource module
Then an error message is displayed
And the Resource is not linked

Python:

from behave import given, when, then

@given('a Resource is added via Resource Lookup')
def step_given_resource_added(context):
    context.resource_added = True

@given('the Resource type is unsupported')
def step_given_unsupported_resource_type(context):
    context.resource_type = 'unsupported'

@when('the Resource is linked to the Resource module')
def step_when_resource_linked(context):
    context.link_attempted = True

@then('an error message is displayed')
def step_then_error_message_displayed(context):
    assert context.link_attempted and context.resource_type == 'unsupported'

@then('the Resource is not linked')
def step_then_resource_not_linked(context):
    assert not context.resource_linked"
125,"As a config user, I want to see/enable a new Setting in Admin > Template for Workflows for Collaborators in Approvals [Resource Feedback]","Gherkin:

Feature: Enable and Display New Setting for Resource Feedback Workflow Templates

Scenario: Display new setting when MCP is enabled

Given the MCP setting is enabled
And I am on the Admin > Template page
When I view the Workflow Templates for Collaborators in Approvals
Then I should see the new setting for Resource Feedback

Python:

from behave import given, when, then

@given('the MCP setting is enabled')
def step_given_mcp_setting_enabled(context):
    # Code to ensure MCP setting is enabled
    pass

@given('I am on the Admin > Template page')
def step_given_on_admin_template_page(context):
    # Code to navigate to Admin > Template page
    pass

@when('I view the Workflow Templates for Collaborators in Approvals')
def step_when_view_workflow_templates(context):
    # Code to view the Workflow Templates
    pass

@then('I should see the new setting for Resource Feedback')
def step_then_see_new_setting(context):
    # Code to verify the new setting is visible
    pass"
69,"As a User, I want to update UI & logic around selecting Jobs in Info Preview panel for preview + closing them to return to Resource preview","Gherkin:

Feature: Update Job Selection and Closing in Info Preview Panel

Scenario: User selects and closes a Job Preview

Given the user is on the Resource preview page
And a Job is selected in the Info Preview panel
When the user re-clicks the selected Job
Then the preview switches back to the Template
When the user clicks the close option for the Job preview
Then the Job preview is closed and the Resource preview is displayed

Python:

from behave import given, when, then

@given('the user is on the Resource preview page')
def step_given_user_on_resource_preview(context):
    pass

@given('a Job is selected in the Info Preview panel')
def step_given_job_selected(context):
    pass

@when('the user re-clicks the selected Job')
def step_when_user_reclicks_job(context):
    pass

@then('the preview switches back to the Template')
def step_then_preview_switches_to_template(context):
    pass

@when('the user clicks the close option for the Job preview')
def step_when_user_clicks_close_option(context):
    pass

@then('the Job preview is closed and the Resource preview is displayed')
def step_then_job_preview_closed(context):
    pass"
451,As a user I want to click 'Review Request' action in action dropdown in footer to open Bulk Approve Page (action redirect),"Feature: Bulk Review Request Action

Scenario: User clicks 'Review Request' in action dropdown to open Bulk Approve Page

Given the user is on the page with the action dropdown in the footer
And the action dropdown is visible
When the user clicks on the 'Review Request' action in the dropdown
Then the Bulk Review Request page should open

Python:

from behave import given, when, then

@given('the user is on the page with the action dropdown in the footer')
def step_given_user_on_page_with_action_dropdown(context):
    # Code to ensure the user is on the correct page
    pass

@given('the action dropdown is visible')
def step_given_action_dropdown_visible(context):
    # Code to ensure the action dropdown is visible
    pass

@when('the user clicks on the ""Review Request"" action in the dropdown')
def step_when_user_clicks_review_request(context):
    # Code to simulate clicking the 'Review Request' action
    pass

@then('the Bulk Review Request page should open')
def step_then_bulk_review_request_page_opens(context):
    # Code to verify the Bulk Review Request page is opened
    pass"
