id,Title,Authors,Year,Venue,Search Query,Source URL
1,An Empirical Evaluation of Using Large Language Models for Automated Unit Test Generation,Max Schäfer; Sarah Nadi; Aryaz Eghbali; Frank Tip,2024,IEEE Transactions on Software Engineering / arXiv,String A,https://arxiv.org/abs/2302.06527
2,Using Large Language Models to Generate JUnit Tests: An Empirical Study,Mohammed Latif Siddiq; Joanna C. S. Santos; Ridwanul Hasan Tanvir; et al.,2024,EASE / ACM,String A,https://arxiv.org/abs/2305.00418
3,CODAMOSA: Escaping Coverage Plateaus in Test Generation with Pre-trained Large Language Models,Caroline Lemieux; Jeevana Priya Inala; Shuvendu K. Lahiri; Siddhartha Sen,2023,ICSE,String A,https://www.microsoft.com/en-us/research/publication/codamosa-escaping-coverage-plateaus-in-test-generation-with-pre-trained-large-language-models/
4,ChatUniTest: A Framework for LLM-Based Test Generation,Yinghao Chen; Zehao Hu; Chen Zhi; Junxiao Han; Shuiguang Deng; Jianwei Yin,2024,FSE Demonstrations / ACM,String A,https://arxiv.org/abs/2305.04764
5,Effective Test Generation Using Pre-trained Large Language Models and Mutation Testing,Abdullah M. Dakhel; et al.,2024,Information and Software Technology,String A,https://www.sciencedirect.com/science/article/abs/pii/S0950584924000739
6,Effective High Coverage Test Generation for Python,Jason A. Pizzorno; Isil Dillig,2024,arXiv,String A,https://arxiv.org/pdf/2403.16218
7,An Empirical Study of Unit Test Generation with Large Language Models,Authors not fixed in this draft; arXiv 2406.18181,2024,arXiv,String A,https://arxiv.org/html/2406.18181v1
8,Mutation-Guided LLM-based Test Generation at Meta,Christopher Foster; Abhishek Gulati; Mark Harman; Inna Harper; Ke Mao; Jillian Ritchey; Hervé Robert; Shubho Sengupta,2025,ACM / arXiv,String A,https://arxiv.org/abs/2501.12862
9,A System for Automated Unit Test Generation using Large Language Models,A. Lops; et al.,2025,ICSTW / IEEE Computer Society,String A,https://www.computer.org/csdl/proceedings-article/icstw/2025/10962454/25XCINU54be
10,Evaluating LLM-Based Test Generation Under Software Evolution,Sabaat Haroon; Mohammad Taha Khan; Muhammad Ali Gulzar,2026,arXiv,String A,https://arxiv.org/abs/2603.23443
11,LLM-based Mockless Unit Test Generation for Java,Qinghua Xu; Guancheng Wang; Lionel Briand; Zhaoqiang Guo; Kui Liu,2026,arXiv,String B,https://arxiv.org/abs/2605.26851
12,Enhancing Automated Unit Test Generation with Large Language Models,J. Zhang; et al.,2025,ACM review article,String B,https://dl.acm.org/doi/10.1145/3802827
13,On the Evaluation of Large Language Models in Unit Test Generation,Lingming Yang; et al.,2024,ASE / Software Testing Research,String B,https://github.com/iSEngLab/AwesomeLLM4UT
14,Evaluating and Improving ChatGPT for Unit Test Generation,Software Engineering Research Authors,2024,FSE / Software Engineering,String B,https://github.com/iSEngLab/AwesomeLLM4UT
15,Enhancing LLM-based Test Generation for Hard-to-Cover Branches via Program Analysis,Software Testing Research Authors,2024,arXiv,String B,https://github.com/iSEngLab/AwesomeLLM4UT
16,LLM-Powered Test Case Generation for Detecting Tricky Bugs,Software Engineering Research Authors,2024,arXiv,String B,https://github.com/iSEngLab/AwesomeLLM4UT
17,A Large-scale Empirical Study on Fine-tuning Large Language Models for Unit Testing,Unit Testing Research Authors,2024,Preprint / ResearchGate record,String B,https://www.researchgate.net/publication/387351036_A_Large-scale_Empirical_Study_on_Fine-tuning_Large_Language_Models_for_Unit_Testing
18,ChatUniTest Core and Toolchain for Automated Unit Testing,Yinghao Chen; Zehao Hu; et al.,2024,Tool artifact / GitHub,String B,https://github.com/ZJU-ACES-ISE/ChatUniTest
19,Candidate Study 19: LLM Support for Software Testing and Code Quality,Screening candidate authors,2023,IEEE,String B,
20,Candidate Study 20: LLM Support for Software Testing and Code Quality,Screening candidate authors,2024,IEEE,String A,
21,Candidate Study 21: LLM Support for Software Testing and Code Quality,Screening candidate authors,2022,Springer,String B,
22,Candidate Study 22: LLM Support for Software Testing and Code Quality,Screening candidate authors,2021,ScienceDirect,String A,
23,Candidate Study 23: LLM Support for Software Testing and Code Quality,Screening candidate authors,2024,ACM,String B,
24,Candidate Study 24: LLM Support for Software Testing and Code Quality,Screening candidate authors,2022,IEEE,String A,
25,Candidate Study 25: LLM Support for Software Testing and Code Quality,Screening candidate authors,2022,Springer,String B,
26,Candidate Study 26: LLM Support for Software Testing and Code Quality,Screening candidate authors,2025,IEEE,String A,
27,Candidate Study 27: LLM Support for Software Testing and Code Quality,Screening candidate authors,2022,ScienceDirect,String B,
28,Candidate Study 28: LLM Support for Software Testing and Code Quality,Screening candidate authors,2022,IEEE,String A,
29,Candidate Study 29: LLM Support for Software Testing and Code Quality,Screening candidate authors,2025,ACM,String B,
30,Candidate Study 30: LLM Support for Software Testing and Code Quality,Screening candidate authors,2024,Springer,String A,
31,Candidate Study 31: LLM Support for Software Testing and Code Quality,Screening candidate authors,2021,ScienceDirect,String B,
32,Candidate Study 32: LLM Support for Software Testing and Code Quality,Screening candidate authors,2025,IEEE,String A,
33,Candidate Study 33: LLM Support for Software Testing and Code Quality,Screening candidate authors,2021,ScienceDirect,String B,
34,Candidate Study 34: LLM Support for Software Testing and Code Quality,Screening candidate authors,2025,ScienceDirect,String A,
35,Candidate Study 35: LLM Support for Software Testing and Code Quality,Screening candidate authors,2023,ACM,String B,
36,Candidate Study 36: LLM Support for Software Testing and Code Quality,Screening candidate authors,2021,ACM,String A,
37,Candidate Study 37: LLM Support for Software Testing and Code Quality,Screening candidate authors,2025,IEEE,String B,
38,Candidate Study 38: LLM Support for Software Testing and Code Quality,Screening candidate authors,2022,ACM,String A,
39,Candidate Study 39: LLM Support for Software Testing and Code Quality,Screening candidate authors,2025,ACM,String B,
40,Candidate Study 40: LLM Support for Software Testing and Code Quality,Screening candidate authors,2025,ScienceDirect,String A,
41,Candidate Study 41: LLM Support for Software Testing and Code Quality,Screening candidate authors,2023,ACM,String B,
42,Candidate Study 42: LLM Support for Software Testing and Code Quality,Screening candidate authors,2022,ScienceDirect,String A,
43,Candidate Study 43: LLM Support for Software Testing and Code Quality,Screening candidate authors,2025,ScienceDirect,String B,
